zts1e	Rest
zts860e	Neutralize enemy's defense by using a huge weapon.
zts861e	Crack ground and enemy under madness.
zts862e	Increase attack power by decreasing own life.
zts863e	Beat surrounding at random by turning oneself under madness and dark power.
zts864e	It is the basic attack of Wild keeper.
zts865e	Hurl 2 boomerangs at enemy.
zts866e	Cut enemy by pitching a boomerang straightly.
zts867e	You can deliver an accurate attack at enemy by calling back eagle's soul.
zts868e	Fill oneself with the spirit of nature by collecting the spirit.
zts869e	Cut surrounding enemies by turning boomerang strongly.
zts870e	Increase moving speed by calling back wolf's soul.
zts871e	Absorb in the spirit of nature from enemy.
zts872e	Hack surrounding enemies by hurling several boomerangs.
zts873e	Increase defense power by calling back bear's soul.
zts874e	Pitch a huge boomerang with the spirit of nature
zts875e	It is the basic attack of Dark gunner.
zts876e	Fire Spell Revolver repeatedly.
zts877e	Fire an explosive at enemy.
zts878e	Defend a summoner with dark spirit by summoning the engaged demon.
zts879e	Fire a cursed shot at enemy.
zts880e	The engaged demon endows the summoner with dark spirit.
zts881e	The engaged demon curses at enemy.
zts882e	Fire shots with cursed ghosts repeatedly.
zts883e	Send out dark spirit and fill enemy with the spirit.
zts884e	Because of the requiem of the engaged demon, the surrounding enemies run away in fear and their lives are absorbed.
zts885e	Fire shots with cursed ghosts wildly.
zts886e	Monster skill
zts887e	Monster skill
zts888e	Monster skill
zts889e	Monster skill
zts890e	Monster skill
zts891e	Monster skill
zts892e	Monster skill
zts893e	Monster skill
zts894e	Monster skill
zts895e	Monster skill
zts896e	Monster skill
zts897e	Monster skill
zts898e	Monster skill
zts899e	Monster skill
zts900e	Monster skill
zts901e	Monster skill
zts902e	Monster skill
zts903e	Monster skill
zts904e	Monster skill
zts905e	Monster skill
zts906e	Monster skill
zts907e	Monster skill
zts908e	Monster skill
zts909e	Monster skill
zts910e	Monster skill
zts911e	Monster skill
zts912e	Monster skill
zts913e	Monster skill
zts914e	Monster skill
zts915e	Monster skill
zts916e	Monster skill
zts917e	Monster skill
zts918e	Monster skill
zts919e	Monster skill
zts920e	Monster skill
zts921e	Monster skill
zts922e	Monster skill
zts923e	Monster skill
zts924e	Monster skill
zts925e	Monster skill
zts926e	Monster skill
zts927e	Monster skill
zts928e	Monster skill
zts929e	Monster skill
zts930e	Monster skill
zts931e	Monster skill
zts932e	Monster skill
zts933e	Monster skill
zts934e	Monster skill
zts935e	Monster skill
zts936e	Monster skill
zts937e	Monster skill
zts938e	Monster skill
zts939e	Monster skill
zts940e	Monster skill
zts941e	Monster skill
zts942e	Monster skill
zts943e	Monster skill
zts944e	Monster skill
zts945e	Monster skill
zts946e	Monster skill
zts947e	Monster skill
zts948e	Monster skill
zts949e	Monster skill
zts954e	Increase Physical Ability : 5.
zts955e	Increase Physical Ability : 15.
zts956e	[Master]Course for Physical Ability
zts957e	Increase Physical Ability : 60.
zts958e	Increase Speed : 5.
zts959e	Increase Speed : 15.
zts960e	Increase Speed : 60.
zts961e	Increase Intelligence : 5.
zts962e	Increase Intelligence : 30.
zts963e	Increase Intelligence : 60.
zts964e	Increase Max HP : 300.
zts965e	Increase Max HP : 1,000.
zts966e	Increase Max HP : 3,000.
zts967e	Increase Max MP : 300.
zts968e	Increase Max MP : 1,000.
zts969e	Increase Max MP : 3,000.
zts970e	[Beginner]Natural Healing
zts971e	Specialized for Undead
zts972e	Increase melee attack power when attacking Low-level Undead.
zts973e	How to capture
zts974e	1. After choosing an animal monster, check if there is the capture icon in the target window.
zts975e	2. Make HP of the monster be less than 50% by attacking it.
zts976e	3. Use the skill 'Capture'.
zts977e	4. If fail, use the skill again after cooldown time.
zts978e	Increasing attack power 1Lv
zts979e	Increase melee attack power of Hit of Rage
zts980e	Attack power is incrased.
zts981e	Increase melee attack power of Count-Slash and damage of critical hit.
zts982e	Increase melee attack power of Earth Wave.
zts983e	Increase melee attack power of Blow Wield.
zts984e	Increase melee attack power of Double Attack.
zts985e	Increase ranged attack power of Dynamic Shooting.
zts986e	Make a great hit.
zts987e	Pull in the enemy in front of you.
zts988e	After collecting sword energy, revolve strongly to give damage around.
zts989e	Shoot an arrow to push the enemy.
zts990e	Shoot arrows while jumping dealing damage to the nearby enemies without a penalty.
zts991e	Ranged shooting that sends 3 cells of arrows around the target.
zts992e	Give a fatal attack with a dagger.
zts993e	Add Venom to the auxiliary dagger and poison the enemy.
zts994e	While you are turning round, attack all enemies around you with a dagger.
zts995e	Because of sudden count attack, the enemies can be under 'Move disabled'.
zts996e	Accumulate attack energy to make for a stronger attack on the next target.
zts997e	Increase adventure team¡¯s rate of accuracy and fatal blow.
zts998e	Toxic Arrowhead
zts999e	Increase ranged attack power of Elaborate Shot.
zts1000e	Increase ranged attack power of Intense Shot.
zts1001e	Magic barrier
zts1002e	Create a shield to decrease damage from all attack at certain probability.
zts1003e	Conservation of nature
zts1004e	Create a protection that reduces all elemental damage dealt to all party members.
zts1005e	Increase ranged attack power of Fast Shooting.
zts1006e	Increase ranged attack power of Overhead Shooting.
zts1007e	Strengthening
zts1008e	Increase melee attack power of Turning Count and the probability of Move disabled.
zts1009e	Increase melee attack power of Short Stabbing.
zts1010e	Explosion
zts1011e	Add flame explosion at certain probability when using Fire Bolt.
zts1012e	Freeze
zts1013e	Freeze the enemy at certain probability when using Ice Bolt.
zts1014e	Increase magical attack power of Magic Missile.
zts1015e	Strengthening Lv.1
zts1016e	Increase magical attack power and water element of Tornado.
zts1017e	Strengthening Lv.2
zts1018e	Increase magical attack power of Stone Cubic.
zts1019e	Increase magical attack power of Power Magic Bullet.
zts1020e	Increase probability of fatal hit and damage additionally.
zts1021e	Increasing attack power Lv.1
zts1022e	Investing water element Lv.1
zts1023e	Invest Spellgun Shooting with water element
zts1024e	Shoot Sword Energy quickly in front of you.
zts1025e	Increase all Resistances by concentrating your attention on your body.
zts1026e	Slip up on the enemy quickly and hit the enemy.
zts1027e	Make the enemy blackout in an instant by shooing a big bullet.
zts1028e	Shoot an explosive with an arrow to give severe damage.
zts1029e	PvP special treatment
zts1030e	Increase melee attack power in PvP.
zts1031e	Investing fire element 1Lv
zts1032e	Invest Hit of Rage with fire element.
zts1033e	Investing fire element 2Lv
zts1034e	Investing dark element 1L
zts1035e	Invest Hit of Rage with dark element.
zts1036e	Investing dark element 2Lv
zts1037e	Increase melee attack power of Shining Blade.
zts1038e	Specialized for Low-level monsters
zts1039e	Increase melee attack power when attacking Low-level Monsters.
zts1040e	Specialized for Animals
zts1041e	Increase melee attack power when attacking Low-level Animals.
zts1042e	Specialized for Plants
zts1043e	Increase melee attack power when attacking Low-level Plants.
zts1044e	Increase ranged attack power when attacking Low-level Monsters.
zts1045e	Increase ranged attack power when attacking Low-level Animals.
zts1046e	Increasing attack power 3Lv
zts1047e	Increasing attack power 4Lv
zts1048e	Investing fire element
zts1049e	Change its element into Fire.
zts1050e	Increase probability of Black out of Count-Stern.
zts1051e	Strengthen duration and effect of Pledge of Blood.
zts1052e	Increase melee attack power of Dash Attack and make the enemy be under Rigidity.
zts1053e	Suddenly pull the enemy in front of you, and make the enemy distracted.
zts1054e	Increase ranged attack power of Explosion Shot.
zts1055e	Increase ranged attack power when attacking Low-level Plants.
zts1056e	Increase ranged attack power of Jump Shot.
zts1057e	Maximize duration and effect of Ritual of Hawk.
zts1058e	Strengthening Toxic Thorn Lv.1
zts1059e	Put Toxic Thorn on a dagger
zts1060e	Strengthening Toxic Thorn Lv.2
zts1061e	Add fire element to Explosion Shot.
zts1062e	Increase ranged attack power when attacking Low-level Undead.
zts1063e	Increase ranged attack power in PvP.
zts1064e	Shoot Flame Arrow to burn the enemy.
zts1065e	Invest Energy Bolt with water element.
zts1066e	Investing water element Lv.2
zts1067e	Invest Spellgun Shooting with fire element.
zts1068e	Increase magical attack power and fire element of Fire Bolt.
zts1069e	Increase magical attack power and water element of Ice Bolt.
zts1070e	Increase magical attack power and fire element of Fire Column.
zts1071e	Shoot arrows with magic over you to send a shower of arrows around you.
zts1072e	Stab the enemy¡¯s weak spot with a dagger to give severe damage.
zts1073e	Paralyzing toxic
zts1074e	Put Paralyzing toxic on an arrowhead to decrease the enemy¡¯s power.
zts1075e	Reinforcing poison
zts1076e	Put Reinforcing poison on an arrowhead to stimulate the enemy¡¯s nerves.
zts1077e	Strengthening Deadly Poison Lv.1
zts1078e	Put Deadly Poison on a dagger.
zts1079e	Strengthening Deadly Poison Lv.2
zts1080e	Give severe damage to the enemy by summoning an Ice auger from the earth.
zts1081e	Judgment of Heaven
zts1082e	Attack the enemy by a light from Heaven.
zts1083e	Burn enemies by making magma spouted out around you.
zts1084e	Shoot condensed spell with Spellgun.
zts1085e	Radiate aura of death to demoralize enemies around you.
zts1086e	Create colder Ice auger than usual, increase magic attack power and probability of Freeze.
zts1087e	Add water element to Judgment of Heaven.
zts1088e	Create hotter Magma Zone than usual, increase magic attack power and probability of Fatal Burn.
zts1089e	Summoning Calvinas
zts1090e	Calvinas¡¯s basic attack
zts1091e	Blackout Lv.1
zts1092e	Put a spell in Shining arrow to give more damage to the enemy and to make the enemy black out.
zts1093e	Increase short-distance attack power of Attack weak points and make the enemy be in Serious Bleeding.
zts1094e	Skill animation effect becomes more splendid and its power also becomes stronger.
zts1095e	Invest Blow Wield with fire element.
zts1096e	Invest Blow Wield with dark element.
zts1097e	Invest Dynamic Shooting with fire element.
zts1098e	Invest Dynamic Shooting with dark element.
zts1099e	Invest Double Attack with fire element.
zts1100e	Invest Double Attack with dark element.
zts1101e	Increasing Shooting Range
zts1102e	Increase Shooting Range of Dash Attack
zts1103e	Invest Earth-wave with fire element.
zts1104e	Investing dark element
zts1105e	Invest Earth-wave with dark element.
zts1106e	Invest Count-Slash with fire element.
zts1107e	Invest Count-Slash with dark element.
zts1108e	Defense neutralizing Lv.1
zts1109e	Attack an unguarded point to destroy the enemy¡¯s defense-weapon.
zts1110e	Defense neutralizing Lv.2
zts1111e	Defense neutralizing Lv.3
zts1112e	Attack using the sword's hilt to make the enemy be under Fatal Black Out.
zts1113e	Pull the enemy in front of you in an instant, and make the enemy very distracted.
zts1114e	Maximize the effect and the duration of Suppress.
zts1115e	Change its element into dark.
zts1116e	Upgrade Sword Energy.
zts1117e	Add fire element to Shining Blade.
zts1118e	Add dark element to Shining Blade
zts1119e	Shining Blade¡¯s animation effect becomes more splendid and its power becomes maximized.
zts1120e	Add dark element to Explosion Shot.
zts1121e	Explosion Shot¡¯s animation effect becomes more splendid and its power becomes maximized.
zts1122e	Fox 1st skill attack
zts1123e	Fox 2nd skill attack
zts1124e	Fox 3rd basic attack
zts1125e	Wolf 1st dash attack
zts1126e	Wolf 2nd dash attack
zts1127e	Wolf 3rd dash attack
zts1128e	Investing water element
zts1129e	Invest Elaborate Shot with water element.
zts1130e	Investing light element
zts1131e	Invest Elaborate Shot with light element.
zts1132e	Increase Accuracy rate
zts1133e	Increase the probability of hitting the enemy with Elaborate Shot.
zts1134e	Increase Fatal blow rate
zts1135e	Increase the probability of giving the enemy fatal blow with Elaborate Shot.
zts1136e	Upgrade (fatal blow)
zts1137e	Maximize fatal blow rate of Elaborate Shot.
zts1138e	Invest Intense Shot with water element.
zts1139e	Invest Intense Shot with light element.
zts1140e	Strengthening Pushing Lv.1
zts1141e	Shoot an arrow strongly to push the enemy far back.
zts1142e	Strengthening Pushing Lv.2
zts1143e	Strengthening Pushing Lv.3
zts1144e	Maximize ranged attack of Intense Shot.
zts1145e	Piercing Shot¡¯s animation effect becomes more splendid and its power and the probability of deathblow become maximized.
zts1146e	Invest Jump Shot with water element.
zts1147e	Investing light element Lv.1
zts1148e	Invest Jump Shot with light element.
zts1149e	Investing light element Lv.2
zts1150e	Maximize ranged attack of Jump Shot.
zts1151e	Invest Fast Shooting with light element.
zts1152e	Invest Fast Shooting with water element.
zts1153e	Maximize ranged attack of Fast Shooting.
zts1154e	Invest Overhead Shooting with water element.
zts1155e	Invest Overhead Shooting with light element.
zts1156e	Maximize ranged attack of Overhead Shooting.
zts1157e	Invest Short Stabbing with water element.
zts1158e	Invest Short Stabbing with light element.
zts1159e	Bleeding
zts1160e	Stab Fatal Point to make the enemy bleed.
zts1161e	Blackout
zts1162e	Stab Fatal Point to make the enemy black out.
zts1163e	Maximize melee attack of Short Stabbing.
zts1164e	Invest Turning Count with water element.
zts1165e	Invest Turning Count with light element.
zts1166e	Maximize melee attack of Turning Count and increase the probability of fatal blow.
zts1167e	Blackout Lv.2
zts1168e	Shining Arrow¡¯s animation effect becomes more splendid and its power becomes maximized.
zts1169e	Attack weak points¡¯s animation effect becomes more splendid and its power and the probability of deathblow become maximized.
zts1170e	Aim at enemy's legs elaborately, and increase ranged attack power and the probability of making the enemy get Wounded Leg.
zts1171e	Maximize long-distance attack power of Target Legs and increase Accuracy rate.
zts1172e	Invest Energy Bolt with fire element.
zts1173e	Invest Magic Missile with water element.
zts1174e	Invest Magic Missile with fire element.
zts1175e	Maximize magic attack power of Magic Missile.
zts1176e	Maximize magic attack power of Stone Cubic to make the enemy black out easily.
zts1177e	Conservation of Light
zts1178e	Conservation of nature protects light elemental energy.
zts1179e	Conservation of Dark
zts1180e	Conservation of nature protects dark elemental energy.
zts1181e	Ice auger¡¯s animation effect becomes more splendid and its power becomes maximized.
zts1182e	Invest Power Magic Bullet with fire element.
zts1183e	Invest Power Magic Bullet with water element.
zts1184e	Maximize magic attack power of Power Magic Bullet.
zts1185e	Increase attack power while using Spell Charging.
zts1186e	Maximize Magic Barrier¡¯s effect. Increase its duration and absorbing power.
zts1187e	Strengthening Lv.3
zts1188e	Ranged protection Lv.1
zts1189e	Ranged protection Lv.2
zts1190e	Ranged protection Lv.3
zts1191e	Magic protection Lv.1
zts1192e	Magic protection Lv.2
zts1193e	Magic protection Lv.3
zts1194e	Increasing recovery volume Lv.2
zts1195e	Strengthen Blind to make the enemy blind strongly.
zts1196e	Decreasing movement speed
zts1197e	Decreasing Hit rate
zts1198e	Concentrate magic power to make the enemy fall asleep.
zts1199e	Add fire element to Magic Beam.
zts1200e	Add water element to Magic Beam.
zts1201e	Increasing attack power
zts1202e	Maximize Magic Beam¡¯s attack power.
zts1203e	Magma Zone¡¯s animation effect becomes more splendid and its power becomes maximized.
zts1204e	Fox 3rd strong attack
zts1205e	Sheep 3rd basic attack
zts1206e	Imp 3rd basic attack
zts1207e	Sling 3rd basic attack
zts1208e	Rat 3rd basic attack
zts1209e	Conservation of Water
zts1210e	Conservation of nature protects water elemental energy.
zts1211e	Conservation of Fire
zts1212e	Conservation of nature protects fire elemental energy.
zts1213e	Judgment of Heaven¡¯s animation effect becomes more splendid and its power becomes maximized.
zts1214e	Upgrade (Attack power)
zts1215e	Maximize ranged attack of Elaborate Shot.
zts1216e	Ice Woman¡¯s Teleporting
zts1217e	Devil Guardian¡¯s attack
zts1218e	Angel Guardian¡¯s attack
zts1219e	Ice attack
zts1220e	Torn away Robe¡¯s basic attack
zts1221e	Foggy Giant¡¯s range-attack
zts1222e	Devil Lady¡¯s basic attack
zts1223e	Queen Mole summons
zts1224e	Mistic Aron recovery
zts1225e	SE Surroundings Attacks
zts1226e	SE Surroundings Attacks 2
zts1227e	Mandra ghost¡¯s basic attack
zts1228e	Cursed beast¡¯s basic attack
zts1229e	Bean Data
zts1230e	Decrease the ability of the enemies who are not light element by Holy Light.
zts1231e	Make your adventure team and you be stronger by Holy Light.
zts1232e	Love
zts1233e	(Alt + Q)
zts1234e	Hi
zts1235e	(Alt + W)
zts1236e	Grin
zts1237e	(Alt + E)
zts1238e	Laugh
zts1239e	(Alt + R)
zts1240e	Shy
zts1241e	(Alt + T)
zts1242e	Hehe
zts1243e	(Alt + Y)
zts1244e	Ooops
zts1245e	(Alt + U)
zts1246e	Ahhh
zts1247e	(Alt + l)
zts1248e	Embarrassed
zts1249e	(Alt + O)
zts1250e	Victory
zts1251e	(Alt + P)
zts1252e	What?
zts1253e	(Alt + A)
zts1254e	Kidding me?
zts1255e	(ALT+S)
zts1256e	Want
zts1257e	(Alt + D)
zts1258e	Shame
zts1259e	(Alt + O)
zts1260e	Angry
zts1261e	(Alt + G)
zts1262e	Will pay
zts1263e	(Alt + H)
zts1264e	Gotcha
zts1265e	(Alt + J)
zts1266e	Reflect
zts1267e	(Alt + K)
zts1268e	Tears
zts1269e	(Alt + L)
zts1270e	Cry
zts1271e	(Alt + Z)
zts1272e	Sob
zts1273e	(Alt + X)
zts1274e	Burning out
zts1275e	(Alt + C)
zts1276e	Cutty Boy
zts1277e	(Alt + V)
zts1278e	Cutty Girl
zts1279e	(Alt + B)
zts1280e	Hmmmm
zts1281e	(Alt + N)
zts1282e	Bleh ~
zts1283e	(Alt + M)
zts1284e	Long Chin
zts1285e	(Alt +,)
zts1286e	monster skill
zts1287e	monster skill
zts1288e	monster skill
zts1289e	monster skill
zts1290e	monster skill
zts1291e	monster skill
zts1292e	monster skill
zts1293e	monster skill
zts1294e	monster skill
zts1295e	monster skill
