zts1e	Best Service
zts426e	All defense powers increase up to 5%. [n]Maximum HP increases up to 200. [n]Swordsman, Archer, Sorcerer only. [n]Female only. [n] Time is spent from equipping it first. [n]You can¡¯t transfer it after equipping. [n]
zts427e	Black & White (7days)
zts428e	Black & White (30days)
zts429e	Black & White (Permanent)
zts430e	Come on~ I am a street fighter!
zts431e	Martial Sportswear
zts432e	Martial Sportswear (7days)
zts433e	Martial Sportswear (30days)
zts434e	Martial Sportswear (Permanent)
zts435e	Basic sportswear!
zts436e	School Sportswear
zts437e	School Sportswear (7days)
zts438e	School Sportswear (30days)
zts439e	School Sportswear (Permanent)
zts440e	I burn my passion ~
zts441e	Flame Sportswear
zts442e	Flame Sportswear (7days)
zts443e	Flame Sportswear (30days)
zts444e	Flame Sportswear (Permanent)
zts445e	Comfortable sportswear!
zts446e	Bluesky Sportswear
zts447e	Bluesky Sportswear (7days)
zts448e	Bluesky Sportswear (30days)
zts449e	Bluesky Sportswear (Permanent)
zts450e	For you with senses!
zts451e	Fashion Sportswear
zts452e	Fashion Sportswear (7days)
zts453e	Fashion Sportswear (30days)
zts454e	Fashion Sportswear (Permanent)
zts455e	For a sweet girl!
zts456e	Hot-pink Sportswear
zts457e	Hot-pink Sportswear (7days)
zts458e	Hot-pink Sportswear (30days)
zts459e	Hot-pink Sportswear (Permanent)
zts460e	Simple casual waer!
zts461e	Smart Jean
zts462e	Smart Jean (7days)
zts463e	Smart Jean (30days)
zts464e	Smart Jean (Permanent)
zts465e	I am a pure girl~¢½
zts466e	School Uniform
zts467e	School Uniform (7days)
zts468e	School Uniform (30days)
zts469e	School Uniform (Permanent)
zts470e	For you with manly beauty!
zts471e	Military Jean
zts472e	Military Jean (7days)
zts473e	Military Jean (30days)
zts474e	Military Jean (Permanent)
zts475e	I am a lovely girl~¢½
zts476e	Cute lady
zts477e	Cute lady (7days)
zts478e	Cute lady (30days)
zts479e	Cute lady (Permanent)
zts480e	Fresh green casual wear!
zts481e	Forest Jean
zts482e	Forest Jean (7days)
zts483e	Forest Jean (30days)
zts484e	Forest Jean (Permanent)
zts485e	I am a cute business woman~¢½
zts486e	Office Uniform
zts487e	Office Uniform (7days)
zts488e	Office Uniform (30days)
zts489e	Office Uniform (Permanent)
zts490e	For you of passion!
zts491e	Fire Jean
zts492e	Fire Jean (7days)
zts493e	Fire Jean (30days)
zts494e	Fire Jean (Permanent)
zts495e	For you, fashionista!
zts496e	Heavy metal Jean
zts497e	Heavy metal Jean (7days)
zts498e	Heavy metal Jean (30days)
zts499e	Heavy metal Jean (Permanent)
zts500e	For you like a venture!
zts501e	Explorer clothes
zts502e	Explorer clothes (7days)
zts503e	Explorer clothes (30days)
zts504e	Explorer clothes (Permanent)
zts505e	Rat hat
zts506e	So cute rat hat[n]All attack power +5%[n] Maximum MP +200[n][n]
zts507e	ABC
zts508e	Fresh orange hat
zts509e	It removes dandruff, massages your head, and makes glossy hair.[n]All attack power +5%[n] Maximum MP +200[n][n]
zts510e	Gorgeous pot hat
zts511e	It is gorgeous but too heavy. It makes your neck ache![n]All attack power +5%[n] Maximum MP +200[n][n]
zts512e	Wooden vessel hat
zts513e	It is a small light wooden vessel hat. I¡¯d like to open it and have dumplings.[n]All attack power +5%[n] Maximum MP +200[n][n]
zts514e	Blue official hat
zts515e	Public officials wore it in old times. You can create a traditional atmosphere with it.[n]All attack power +5%[n] Maximum MP +200[n][n]
zts516e	Green official hat
zts517e	Red official hat
zts518e	Pet Name Tag
zts519e	Special Recharger
zts520e	All HP/MP is restored and bad effects disappear.[n] Additionally, SP points will be increased by 180000/70000/30000[n]
zts521e	Adventurer's knapsack
zts522e	Partner's backpack
zts523e	You can use additional inventory 50 space via Partner. [n] 10/30/60 days only [n]
zts524e	Pet's delivery basket
zts525e	Can open warehouse anywhere by using pet.[n] 10/30/60 days only[n]
zts526e	Backpack set
zts527e	Blessing of Ancelloan
zts528e	Blessings of Guardian Angel
zts529e	Durability Recharge Coupon
zts530e	Production Point Coupon
zts531e	Handsel envelope
zts532e	99 Big Entire Potion
zts533e	Recovers player and Nosmate.
zts534e	99 Big HP Potion
zts535e	99 Big MP Potion
zts536e	1 Potion to increase dignity
zts537e	Increases dignity by 100.
zts538e	Creating a party Time-space
zts539e	1 Piece of TimeSpace Stone for Party
zts540e	Double-click to check the mission.
zts541e	Hunt out a rare item
zts542e	Magic box
zts543e	You can get one of Panda fancy dress, Panda hat, Brown bear fancy dress, Brown bear hat, Lower card protection scroll, Blessing of Ancelloan, Handsel envelope, Springwater of Cylloan, Coupon for Double production, Medicine for Partner, Partner's backpack and Best Pet Food.[n]
zts544e	Put a cute mouse on your head!
zts545e	Rat hat(Permanent)
zts547e	Fresh orange hat(Permanent)
zts549e	Gorgeous pot hat(Permanent)
zts551e	Wooden vessel hat(Permanent)
zts552e	Chinese empress hair accessary
zts553e	Blue official hat(Permanent)
zts554e	Green official hat(Permanent)
zts555e	Red official hat(Permanent)
zts556e	Rat hat(7 days)
zts557e	Rat hat(30 days)
zts558e	Fresh orange hat(7 days)
zts559e	Fresh orange hat(30 days)
zts560e	Gorgeous pot hat(7 days)
zts561e	Gorgeous pot hat(30 days)
zts562e	Wooden vessel hat(7 days)
zts563e	Wooden vessel hat(30 days)
zts564e	Blue official hat(7 days)
zts565e	Blue official hat(30 days)
zts566e	Green official hat(7 days)
zts567e	Green official hat(30 days)
zts568e	Red official hat(7 days)
zts569e	Red official hat(30 days)
zts571e	You can use all items in inventory.[n]It can\'t be used with medal.
zts572e	Try your luck~!
zts573e	Lucky key
zts574e	You can get one of various treasure boxes.[n]And you can get one of various items by opening the treasure box.[n][n][Legendary treasure box][n] One from Equipment protection scroll, Bead of Bushtail with a cold, Bead of lucky pig, Food for Smart pet, Scroll to release fixed-Lv., and Special Card Carrier.[n][Mysterious treasure box][n] One from Amulet of God's blessing(2 Times), Brown bear fancy dress and hat, Panda fancy dress and hat, and Medium Special Recharger.[n][Ancient treasure box][n]One from Blessings of Guardian Angel, Springwater of Cylloan, Adventurer's knapsack and Partner's backpack, Pet's delivery basket, Durability recharge coupon, Amulet for Strongness, And Amulet for Firmness [n][Luxurious treasure box][n]One from Bead for keeping the pet, Bead for keeping Partner, Amulet of God's protection(2 Times), and Scroll to release fixed-Lv.[n][Good treasure box][n]One from Coupon for Double production, Fairy booster, and Coupon for Production Point[n]
zts594e	Cute Korean traditional hat
zts595e	Ayam
zts596e	All attack powers are increased by 5%.[n]Maximum MP increases by 200.[n]Swordsman, Archer, Sorcerer only.[n]Female only.[n]Time is spent from equipping it first.[n]Can¡¯t be traded after equipping.[n][n]
zts597e	Ayam (7 days)
zts598e	Ayam (30 days)
zts599e	Ayam (Permanent)
zts600e	Empress coronet
zts601e	Empress coronet (7 days)
zts602e	Empress coronet (30 days)
zts603e	Empress coronet (Permanent)
zts604e	Show off your beauty!
zts605e	Flower Hairpin
zts606e	Flower Hairpin (7 days)
zts607e	Flower Hairpin (30 days)
zts608e	Flower Hairpin (Permanent)
zts609e	I¡¯m a descendant of a noble family
zts610e	Hogeon
zts611e	All attack powers are increased by 5%.[n]Maximum MP increases by 200.[n]Swordsman, Archer, Sorcerer only.[n]Male only.[n]Time is spent from equipping it first.[n]Can¡¯t be traded after equipping.[n][n]
zts612e	Hogeon (7 days)
zts613e	Hogeon (30 days)
zts614e	Hogeon (Permanent)
zts615e	Growing your humor sense
zts616e	Frozen Corpse Hat
zts617e	Frozen Corpse Hat (7 days)
zts618e	Frozen Corpse Hat (30 days)
zts619e	Frozen Corpse Hat (Permanent)
zts620e	I am an elite official!
zts621e	Ebosi
zts622e	Ebosi (7 days)
zts623e	Ebosi (30 days)
zts624e	Ebosi (Permanent)
zts625e	Wear Korean beauty!
zts626e	Spring Hanbok
zts627e	Spring Hanbok (7 days)
zts628e	Spring Hanbok (30 days)
zts629e	Spring Hanbok (Permanent)
zts630e	Rainbow Hanbok
zts631e	Rainbow Hanbok(7 days)
zts632e	Rainbow Hanbok(30 days)
zts633e	Rainbow Hanbok(Permanent)
zts634e	Traditional Hanbok
zts635e	Traditional Hanbok (7 days)
zts636e	Traditional Hanbok (30 days)
zts637e	Traditional Hanbok (Permanent)
zts638e	For you, the most elegant!
zts639e	Kungfu Chipao
zts640e	Kungfu Chipao (7 days)
zts641e	Kungfu Chipao (30 days)
zts642e	Kungfu Chipao (Permanent)
zts643e	Long Chipao
zts644e	Long Chipao (7 days)
zts645e	Long Chipao (30 days)
zts646e	Long Chipao (Permanent)
zts647e	Dragon Chipao
zts648e	Dragon Chipao (7 days)
zts649e	Dragon Chipao (30 days)
zts650e	Dragon Chipao (Permanent)
zts651e	Nice Japanese traditional clothes!
zts652e	Moonlight Necromancer
zts653e	Moonlight Necromancer (7 days)
zts654e	Moonlight Necromancer (30 days)
zts655e	Moonlight Necromancer (Permanent)
zts656e	Sunlight Necromancer
zts657e	Sunlight Necromancer (7 days)
zts658e	Sunlight Necromancer (30 days)
zts659e	Sunlight Necromancer (Permanent)
zts660e	Tatami Kimono
zts661e	Tatami Kimono  (7 days)
zts662e	Tatami Kimono  (30 days)
zts663e	Tatami Kimono  (Permanent)
zts664e	Wear a hot rose!
zts665e	Fire Rose
zts666e	Fire Rose (7 days)
zts667e	Fire Rose (30 days)
zts668e	Fire Rose (Permanent)
zts669e	Lush mint clothes!
zts670e	Fresh Mint
zts671e	Fresh Mint  (7 days)
zts672e	Fresh Mint  (30 days)
zts673e	Fresh Mint  (Permanent)
zts674e	Sweet and mild temptation
zts675e	Milky Chocolate
zts676e	Milky Chocolate  (7 days)
zts677e	Milky Chocolate  (30 days)
zts678e	Milky Chocolate  (Permanent)
zts679e	Azalea Traditional Hanbok
zts680e	Azalea Hanbok  (7 days)
zts681e	Azalea Hanbok  (30 days)
zts682e	Azalea Hanbok  (Permanent)
zts683e	Sunset Glow Hanbok
zts684e	Sunset Glow Hanbok(7 days)
zts685e	Sunset Glow Hanbok(30 days)
zts686e	Sunset Glow Hanbok(Permanent)
zts687e	Rose of sharon Hanbok
zts688e	Rose of sharon Hanbok (7 days)
zts689e	Rose of sharon Hanbok (30 days)
zts690e	Rose of sharon Hanbok (Permanent)
zts691e	Show off your nice figure!
zts692e	Lavender Chipao
zts693e	Lavender Chipao (7 days)
zts694e	Lavender Chipao (30 days)
zts695e	Lavender Chipao (Permanent)
zts696e	Phoenix Chipao
zts697e	Phoenix Chipao (7 days)
zts698e	Phoenix Chipao (30 days)
zts699e	Phoenix Chipao (Permanent)
zts700e	Trendy Chipao
zts701e	Trendy Chipao(7 days)
zts702e	Trendy Chipao(30 days)
zts703e	Trendy Chipao(Permanent)
zts704e	Prettier and cuter!
zts705e	Cherry Blossom Kimono
zts706e	Cherry Blossom Kimono (7 days)
zts707e	Cherry Blossom Kimono (30 days)
zts708e	Cherry Blossom Kimono (Permanent)
zts709e	Forsythia Kimono
zts710e	Forsythia Kimono  (7 days)
zts711e	Forsythia Kimono  (30 days)
zts712e	Forsythia Kimono  (Permanent)
zts713e	Kunoichi Kimono
zts714e	Kunoichi Kimono (7 days)
zts715e	Kunoichi Kimono (30 days)
zts716e	Kunoichi Kimono (Permanent)
zts717e	Cute doggie Clothes!
zts718e	Collie Clothes
zts719e	Collie Clothes (7 days)
zts720e	Collie Clothes (30 days)
zts721e	Collie Clothes (Permanent)
zts722e	Golden Retriever Clothes
zts723e	Golden Retriever Clothes (7 days)
zts724e	Golden Retriever Clothes (30 days)
zts725e	Golden Retriever Clothes (Permanent)
zts726e	Charming kitty Clothes!
zts727e	Siamese Clothes
zts728e	Siamese Clothes (7 days)
zts729e	Siamese Clothes (30 days)
zts730e	Siamese Clothes (Permanent)
zts731e	Russian Blue Clothes
zts732e	Russian Blue Clothes (7 days)
zts733e	Russian Blue Clothes (30 days)
zts734e	Russian Blue Clothes (Permanent)
zts735e	Hot Bunny Clothes!
zts736e	Hot Bunny Clothes
zts737e	Hot Bunny Clothes (7 days)
zts738e	Hot Bunny Clothes (30 days)
zts739e	Hot Bunny Clothes (Permanent)
zts740e	Charming Bunny Clothes
zts741e	Charming Bunny Clothes  (7 days)
zts742e	Charming Bunny Clothes  (30 days)
zts743e	Charming Bunny Clothes  (Permanent)
zts744e	Dignified Tiger Clothes!
zts749e	Captivating Tiger Clothes
zts750e	Captivating Tiger Clothes (7 days)
zts751e	Captivating Tiger Clothes (30 days)
zts752e	Captivating Tiger Clothes (Permanent)
zts753e	Bulldog Clothes
zts754e	Bulldog Clothes (7 days)
zts755e	Bulldog Clothes (30 days)
zts756e	Bulldog Clothes (Permanent)
zts757e	Dachshund Clothes
zts758e	Dachshund Clothes (7 days)
zts759e	Dachshund Clothes (30 days)
zts760e	Dachshund Clothes (Permanent)
zts761e	American Shorthair Clothes
zts762e	American Shorthair Clothes (7 days)
zts763e	American Shorthair Clothes (30 days)
zts764e	American Shorthair Clothes (Permanent)
zts765e	Korat Clothes
zts766e	Korat Clothes (7 days)
zts767e	Korat Clothes (30 days)
zts768e	Korat Clothes (Permanent)
zts769e	March Hare Clothes!
zts770e	March Hare Clothes
zts771e	March Hare Clothes (7 days)
zts772e	March Hare Clothes (30 days)
zts773e	March Hare Clothes (Permanent)
zts774e	White Rabbit Clothes
zts775e	White Rabbit Clothes (7 days)
zts776e	White Rabbit Clothes (30 days)
zts777e	White Rabbit Clothes (Permanent)
zts778e	Handsome Tiger Clothes
zts779e	Handsome Tiger Clothes (7 days)
zts780e	Handsome Tiger Clothes (30 days)
zts781e	Handsome Tiger Clothes (Permanent)
zts782e	Cute doggie Hat!
zts783e	Collie Hat
zts784e	Collie Hat (7 days)
zts785e	Collie Hat (30 days)
zts786e	Collie Hat (Permanent)
zts787e	Golden Retriever Hat
zts788e	Golden Retriever Hat (7 days)
zts789e	Golden Retriever Hat (30 days)
zts790e	Golden Retriever Hat (Permanent)
zts791e	Charming kitty Hat!
zts792e	Siamese Hat
zts793e	Siamese Hat  (7 days)
zts794e	Siamese Hat  (30 days)
zts795e	Siamese Hat  (Permanent)
zts796e	Russian Blue Hat
zts797e	Russian Blue Hat (7 days)
zts798e	Russian Blue Hat (30 days)
zts799e	Russian Blue Hat (Permanent)
zts800e	Hot Bunny lop Ears!
zts801e	Hot Bunny Ear
zts802e	Hot Bunny Ear (7 days)
zts803e	Hot Bunny Ear (30 days)
zts804e	Hot Bunny Ear (Permanent)
zts805e	Charming Bunny Ear
zts806e	Charming Bunny Ear (7 days)
zts807e	Charming Bunny Ear (30 days)
zts808e	Charming Bunny Ear (Permanent)
zts809e	Dignified Tiger Hat!
zts814e	Captivating Tiger Hat
zts815e	Captivating Tiger Hat  (7 days)
zts816e	Captivating Tiger Hat  (30 days)
zts817e	Captivating Tiger Hat  (Permanent)
zts818e	Bulldog Hat
zts819e	Bulldog Hat  (7 days)
zts820e	Bulldog Hat  (30 days)
zts821e	Bulldog Hat  (Permanent)
zts822e	Dachshund Hat
zts823e	Dachshund Hat  (7 days)
zts824e	Dachshund Hat  (30 days)
zts825e	Dachshund Hat  (Permanent)
zts826e	American Shorthair Hat
zts827e	American Shorthair Hat  (7 days)
zts828e	American Shorthair Hat  (30 days)
zts829e	American Shorthair Hat  (Permanent)
zts830e	Korat Hat
zts831e	Korat Hat  (7 days)
zts832e	Korat Hat  (30 days)
zts833e	Korat Hat  (Permanent)
zts834e	March Hare Hat!
zts835e	March Hare Hat
zts836e	March Hare Hat (7 days)
zts837e	March Hare Hat (30 days)
zts838e	March Hare Hat (Permanent)
zts839e	White Rabbit  Hat
zts840e	White Rabbit  Hat  (7 days)
zts841e	White Rabbit  Hat  (30 days)
zts842e	White Rabbit  Hat  (Permanent)
zts843e	Handsome Tiger Hat
zts844e	Handsome Tiger Hat  (7 days)
zts845e	Handsome Tiger Hat  (30 days)
zts846e	Handsome Tiger Hat  (Permanent)
zts875e	Potions for dignity
zts876e	5 Potions for dignity
zts899e	Annoyed Puppy Clothes
zts900e	Annoyed Puppy Clothes (7 Days)
zts901e	Annoyed Puppy Clothes (30 Days)
zts902e	Annoyed Puppy Clothes (Permanent)
zts903e	Twinkling Puppy Clothes
zts904e	Twinkling Puppy Clothes (7 Days)
zts905e	Twinkling Puppy Clothes (30 Days)
zts906e	Twinkling Puppy Clothes (Permanent)
zts907e	Fabulous Lion Clothes!
zts908e	Nicely Permed Brown Lion Clothes
zts909e	Nicely Permed Brown Lion Clothes (7 Days)
zts910e	Nicely Permed Brown Lion Clothes (30 Days)
zts911e	Nicely Permed Brown Lion Clothes (Permanent)
zts912e	Nicely Permed Dark Lion Clothes
zts913e	Nicely Permed Dark Lion Clothes  (7 Days)
zts914e	Nicely Permed Dark Lion Clothes (30 Days)
zts915e	Nicely Permed Dark Lion Clothes (Permanent)
zts916e	Fancy Puppy Clothes
zts917e	Fancy Puppy Clothes (7 Days)
zts918e	Fancy Puppy Clothes (30 Days)
zts919e	Fancy Puppy Clothes (Permanent)
zts920e	Sleepy Puppy Clothes
zts921e	Sleepy Puppy Clothes (7 Days)
zts922e	Sleepy Puppy Clothes (30 Days)
zts923e	Sleepy Puppy Clothes (Permanent)
zts924e	Noble Lion Clothes!
zts925e	Ancient Golden Lion Clothes
zts926e	Ancient Golden Lion Clothes (7 Days)
zts927e	Ancient Golden Lion Clothes (30 Days)
zts928e	Ancient Golden Lion Clothes (Permanent)
zts929e	Ancient Black Lion Clothes
zts930e	Ancient Black Lion Clothes (7 Days)
zts931e	Ancient Black Lion Clothes (30 Days)
zts932e	Ancient Black Lion Clothes (Permanent)
zts933e	Annoyed Puppy Hat
zts934e	Annoyed Puppy Hat (7 Days)
zts935e	Annoyed Puppy Hat (30 Days)
zts936e	Annoyed Puppy Hat (Permanent)
zts937e	Twinkling Puppy Hat
zts938e	Twinkling Puppy Hat (7 Days)
zts939e	Twinkling Puppy Hat (30 Days)
zts940e	Twinkling Puppy Hat (Permanent)
zts941e	Fabulous Lion Hats!
zts942e	Nicely Permed Brown Lion Hat (7 Days)
zts943e	Nicely Permed Brown Lion Hat (30 Days)
zts944e	Nicely Permed Brown Lion Hat (Permanent)
zts945e	Nicely Permed Dark Lion Hat (7 Days)
zts946e	Nicely Permed Dark Lion Hat (30 Days)
zts947e	Nicely Permed Dark Lion Hat (Permanent)
zts948e	Fancy Puppy Hat
zts949e	Fancy Puppy Hat (7 Days)
zts950e	Fancy Puppy Hat (30 Days)
zts951e	Fancy Puppy Hat (Permanent)
zts952e	Noble Lion Hats!
zts953e	Ancient Golden Lion Hat
zts954e	Ancient Golden Lion Hat (7 Days)
zts955e	Ancient Golden Lion Hat (30 Days)
zts956e	Ancient Golden Lion Hat (Permanent)
zts957e	Ancient Black Lion Hat
zts958e	Ancient Black Lion Hat (7 Days)
zts959e	Ancient Black Lion Hat (30 Days)
zts960e	Ancient Black Lion Hat (Permanent)
zts961e	Nicely Permed Brown Lion Hat
zts962e	Nicely Permed Dark Lion Hat
zts963e	Sleepy Puppy Hat
zts964e	Sleepy Puppy Hat (7 Days)
zts965e	Sleepy Puppy Hat(30 Days)
zts966e	Sleepy Puppy Hat(Permanent)
zts984e	Be stronger in PvP!
zts985e	PvP attack power Potion
zts986e	Increases PvP attack power  for an hour[n] This potion takes effect only when a player is in combat against opponents inside Frozen Crown[n]
zts987e	PvP Defense power Potion
zts988e	Increases PvP defense power  for an hour[n] This potion takes effect only when a player is in combat against opponents inside Frozen Crown[n]
zts989e	Be more solid in PvP!
zts990e	PvP Resistance Potion
zts991e	Increases PvP resistance  for an hour[n] This potion takes effect only when a player is in combat against opponents inside Frozen Crown[n]
zts992e	Gather up, my family!
zts993e	Family summoning horn
zts994e	Summons family members to where it is used.[n]A banner is displayed on bottom-right side of the screen. Click on the banner to teleport[n]Teleport is available to family members in the same channel, and unavailable during the raid or inside Stone of Timespace.
zts995e	Revives Angel White Seal!
zts996e	Angel Sanctum Kit
zts997e	Builds a sanctum which resurrects white seals of Angel¡¯s side for an hour.[n](Resurrection : 100% HP and MP, PVP invincible for 5 seconds.)[n]Sanctum¡¯s duration decreases by resurrection or attack from the opponents, and disappears when the duration time is up.[n] Only available to use by players in Angel¡¯s side players and inside Frozen Crown.[n]
zts998e	Revives Devil White Seal!
zts999e	Devil Altar Kit
zts1000e	Builds an altar which resurrects white seals of Devil¡¯s side for an hour.[n](Resurrection : 100% HP and MP, PVP invincible for 5 seconds.)[n]Altar¡¯s duration decreases by resurrection or attack from the opponents, and disappears when the duration time is up.[n] Only available to use by players in Devil¡¯s side players and inside Frozen Crown.[n]
zts1005e	5 PvP Attack Power Potion
zts1006e	10 PvP Attack Power Potion
zts1007e	5 PvP Defense Power Potion
zts1008e	10 PvP Defense Power Potion
zts1009e	5 PvP Resistance Potion
zts1010e	10 PvP Resistance Potion
zts1011e	5 Family Summoning Horn
zts1012e	10 Family Summoning Horn
zts1014e	You get one of various treasure boxes.[n]You get one of various items by opening the treasure box you got.[n][n][Legendary treasure box][n] One of Bead of Aqua Bushtail, Specialist Medal, Upper card protection scroll, Lower card protection scroll, Point initialization potion.[n][Mysterious treasure box][n] One of Spring Hanbok/Hogeon(30 Days), Dragon Chipao/Frozen Corpse Hat(30 Days), Moonlight Necromancer/Ebosi(30 Days), Lily Hanbok/Ayam(30 Days), Lavender Chipao/Empress coronet(30 Days), Cherry Kimono/Flower Hairpin (30 Days).[n][Ancient treasure box][n]One of Spring Water of Cylloan, Pet's delivery basket, Partner's backpack/Adventurer's knapsack, Blessing of Ancelloan, Equipment protection scroll. [n][Luxurious treasure box][n]One of Amulet of God's blessing(2 times), Scroll to release fixed-Lv., Amulet for Strongness, Amulet for Firmness, Pet Name Tag. [n][Good treasure box][n]One of Medicine for Partner, Blessings of Guardian Angel, Fairy booster, Durability recharge coupon, Coupon for Product
zts1035e	Magic box having unisex costumes.[n] Can get one of Blessing of Ancelloan, Lower card protection scroll, Handsel envelope, Springwater of Cylloan, Coupon for Double production, Medicine for Partner, Partner's backpack 30 days, Best Pet Food, Panda hat(30 days), Panda fancy dress(30 days), Brown bear hat(30 days) and Brown bear fancy dress(30 days).[n]
zts1057e	I'm the mascot of eternal youth & pretties
zts1058e	Tinkerbell
zts1059e	Tinkerbell (7days)
zts1060e	Tinkerbell (30days)
zts1061e	Tinkerbell (Permanent)
zts1062e	I'm the demon king of Nostale!
zts1063e	White demon
zts1064e	White demon (7days)
zts1065e	White demon (30days)
zts1066e	White demon (Permanent)
zts1067e	Become a pretty lady!
zts1068e	Pink hair ribbon
zts1069e	Pink hair ribbon (7days)
zts1070e	Pink hair ribbon (30days)
zts1071e	Pink hair ribbon (Permanent)
zts1072e	Become a nice gentleman!
zts1073e	White fedora
zts1074e	White fedora (7days)
zts1075e	White fedora (30days)
zts1076e	White fedora (Permanent)
zts1084e	You get one of various treasure boxes.[n]You get one of various items by opening the treasure box you got.[n][n][Legendary treasure box][n] One of Bead of Bushtail, Bead of Black Bushtail, Bead of Gladiator Bushtail, Bead of Bushtail with a cold, Bead of Aqua Bushtail, 2nd level warehouse in super size (permanent), and Upper card protection scroll/Wing of angel.[n][Mysterious treasure box][n] One of Rainbow Hanbok/Hogeon(30 Days-Male), Kungfu Chipao/Frozen Corpse Hat(30 Days- Male), Sunlight Necromancer/Ebosi(30 Days- Male), Crocus Hanbok/Ayam(30 Days-Female), Rose Chipao/Empress coronet(30 Days-Female), Forsythia Kimono/Flower Hairpin (30 Days-Female).[n][Ancient treasure box][n]One of Springwater of Cylloan, Bag Package(10 Days), Blessing of Ancelloan, Equipment protection scroll, Lower card protection scroll/ Wing of angel. [n][Luxurious treasure box][n]One of Amulet of God's blessing(2 times), Scroll to release fixed-Lv., Amulet for Strongness, Amulet for Firmness, Pet Name Tag. [n][Good treasur
zts1118e	Remove the other's scent!
zts1119e	Pleasant perfume
zts1120e	It is used when you want to convert the other¡¯s exclusive item into yours. [n][How to use][n]You open the Item converting window by double-click. You put the other¡¯s exclusive item on the window and press the converting button. [n][Cautions][n]The required number of the perfume varies from the item¡¯s Lv. And Rare Lv. [n]
zts1121e	20 Pleasant perfume
zts1122e	50 Pleasant perfume
zts1123e	99 Pleasant perfume
zts1124e	90 Pleasant perfume
zts1146e	Bead of Pegasus
zts1147e	Bead of Cute Rabbit
zts1174e	Let¡¯s go hunting chickens!
zts1175e	Raid Package A
zts1176e	Let¡¯s go hunting Chicken King & AquaGel.[n][n]Chicken-King Seal x 1[n]Seal of Aquagel x 1[n]Very Big Entire Potion x 99[n]
zts1177e	Simple way to go raid
zts1178e	Raid Package B
zts1179e	Simply the best way to go raid on Xysenload & DarkCastra.[n][n]Seal of Xysenload x 1[n]Seal of DarkCastra x 1[n]Very Big Entire Potion x 99[n]
zts1180e	Ever seen Sladeheim?
zts1181e	Raid Package C
zts1182e	Have you ever seen Sladegeim? Now you also can go hunting the Giant Fear.[n][n]Seal of JackSpider x 1[n]Seal of Sladeheim x 1[n]Springwater of Cylloan x 70[n]
zts1183e	Way to survive in LOD
zts1184e	LOD Survival Package
zts1185e	Those you must have to survive in LOD.[n][n]Strong HP Recovery Potion x 30[n]Fountain of Savior x 10[n]Small SP Recharger x 1[n]
zts1186e	You must have in Autumn
zts1187e	Special Autumn Package
zts1188e	Special Must haves in this Autumn![n][n]Megaphone to everyone x 12[n]Adventure's knapsack (30 days) x 1[n]Herb Cure  x 3[n]
zts1189e	Come on! Try your luck!
zts1190e	Mysterious Box set
zts1191e	Get one from items including Bushtail, Black Bushtail, Big SP charger.[n][n]Mysterious box A x 1[n]Mysterious box B x 1[n]Mysterious box C x 1[n]
zts1192e	Dye maniac!
zts1193e	Hair Dye set
zts1194e	Find your own hair style in a very cost-saving way. Potion of Hair Style to change your hair style and Hair-dyes to change your hair color.[n][n]Red Hair-dye x 1[n]Green Hair-dye x 1[n]White Hair-dye x 1 [n]Blue Hair-dye x 1[n]Black Hair-dye x 1[n]Potion of Hair-Style x 1[n]
zts1226e	Christmas package box B
zts1227e	Christmas event item A
zts1234e	Christmas Random box A
zts1235e	Limited Christmas treasure box[n]You can get one of various items from it.[n][The item you can obtain][n] Bead of Santa Tori EX [n] Bead of Aqua Tori[n] [n] Bead of Tori[n] [n] Bead for keeping the pet[n] Pet's delivery basket 10 days[n] 3 Best Pet Food[n]10 Pet Trainer[n]10 Pet Trainer with Diploma[n] Pet Name Tag[n][n]
zts1241e	Family event box A
zts1242e	Happy New Year random box!
zts1243e	Happy New Year box
zts1244e	Happy New Year box[n]You can get one of various items.[n][Items in the box][n]Bead of Cow Bushtail[n] Mysterious box B[n] Pet's delivery basket 60 days[n]5 Good smelling perfume[n]50 Wings of Friendship[n]50 Spring water of Cylloan[n] Adventurer's knapsack (30 days)[n] Bead for keeping the pet[n]2 Pet Name Tag[n]3 Best Pet Food[n][n]
zts1266e	Turn your luck!
zts1274e	[GSP]For sale
zts1275e	Good Bushtail treasure box
zts1276e	Better Bushtail treasure box
zts1277e	Best Bushtail  treasure box
zts1278e	Good Gladiator Bushtail treasure box
zts1279e	Better Gladiator Bushtail treasure box
zts1280e	Best Gladiator Bushtail treasure box
zts1281e	Good Black Bushtail treasure box
zts1282e	Better Black Bushtail treasure box
zts1283e	Best Black Bushtail treasure box
zts1284e	Good Aqua Bushtail treasure box
zts1285e	Better Aqua Bushtail treasure box
zts1286e	Best Aqua Bushtail treasure box
zts1287e	Good Santa Bushtail treasure box
zts1288e	Better Santa Bushtail treasure box
zts1289e	Best Santa Bushtail treasure box
zts1290e	Good Pegasus treasure box
zts1291e	Better Pegasus treasure box
zts1292e	Best Pegasus treasure box
zts1293e	Good Cute rabbit treasure box
zts1294e	Better Cute rabbit treasure box
zts1295e	Best Cute rabbit treasure box
zts1325e	Bead of Cow Bushtail
zts1327e	Hat for Good looking guy
zts1329e	Hat for Good looking guy (7 days)
zts1330e	Hat for Good looking guy (30 days)
