zts1e	New Item
zts875e	Safari of Devil Place
zts876e	Lv. limit: 56-60 [n] can enter at [left side of Mt. Krem] [n] can only enter alone [n][n]
zts877e	Maze Cave
zts878e	Lv. limit: 61-65 [n] can enter at [right side of Mt. Krem] [n] can only enter alone [n][n]
zts879e	Room of Eternity
zts880e	TimeSpace to get the seal of DarkCastra [n] Lv.limit : 50-59 [n] can enter at [basement 2 of Fernon Temple] [n] can only enter alone [n][n]
zts881e	Spider Troops - Part 1
zts882e	TimeSpace to get the seal of Jack Spider [n] Lv.limit : 60-69 [n] can enter at [Cave 5 of Mt. Krem] [n] can only enter alone [n][n]
zts883e	Forgotten Species
zts884e	TimeSpace to get the seal of Sladeheim [n] Lv.limit : 70-79 [n] can enter at [Right side of Mt. Krem] [n] can only enter alone [n][n]
zts885e	Nest of Wolves
zts886e	Lv. limit: 50-55 [n] can enter at [left side of Mt. Krem] [n] Both individual and team can enter [n][n]
zts887e	Cave of Spider King
zts888e	Lv. limit: 55-60 [n] can enter at [left side of Mt. Krem] [n] Both individual and team can enter [n][n]
zts889e	Nest of Lion-wolves
zts890e	Lv. limit: 60-65 [n] can enter at [right side of Mt. Krem] [n] Both individual and team can enter [n][n]
zts891e	Hunting Place of Darkness
zts892e	Lv. limit: 65-70 [n] can enter at [right side of Mt. Krem] [n] Both individual and team can enter [n][n]
zts893e	Broken Magic Field
zts894e	TimeSpace to get the seal of AquaGel [n] Lv.limit : 30-39 [n] can enter at [Morning Prairie] [n] can only enter alone [n][n]
zts895e	Shackle of the Past - Part 1
zts896e	TimeSpace to get the seal of Xysenload [n] Lv.limit : 40-49 [n] can enter at [entrance of Fernon] [n] can only enter alone [n][n]
zts897e	Exploration of the Lab 1
zts898e	Lv. limit: 65-80 [n] can enter at [1st floor of Lab of secrets] [n] can only enter alone [n][n]
zts899e	Exploration of the Lab 2
zts900e	Lv. limit: 65-80 [n] can enter at [2nd floor of Lab of secrets] [n] can only enter alone [n][n]
zts901e	Exploration of the Lab 3
zts902e	Fox Tail
zts903e	Sell this to shops.. [n] Can be acquired from Fox [n][n]
zts904e	Thorn of Thorny Rat
zts905e	Sell this to shops.. [n] Can be acquired from Thorny Rat [n][n]
zts906e	Wool
zts907e	Sell this to shops.. [n] Can be acquired from Woolly [n][n]
zts908e	Mandragora
zts909e	Sell this to shops.. [n] Can be acquired from Mandragora [n][n]
zts910e	Dander Seed
zts911e	Sell this to shops.. [n] Can be acquired from Dander [n][n]
zts912e	Seedle Leaves
zts913e	Sell this to shops.. [n] Can be acquired from Seedle [n][n]
zts914e	Small Bean
zts915e	Sell this to shops.. [n] Can be acquired from Pii [n][n]
zts916e	Jelly
zts917e	Sell this to shops.. [n] Can be acquired from Sling [n][n]
zts918e	Horn of Imp
zts919e	Sell this to shops.. [n] Can be acquired from Imp [n][n]
zts920e	Vampie
zts921e	Sell this to shops.. [n] Can be acquired from Vampie [n][n]
zts922e	Shining Piece
zts923e	Sell this to shops. or used for making an amulet [n] Can be acquired from Walker, Koaren, and Kenko [n][n]
zts924e	Darkness Piece
zts925e	Sell this to shops. or used for making an amulet [n] Can be acquired from Gargs and Kenko [n][n]
zts926e	Ore
zts927e	Sell this to shops. [n] Can be acquired from beginner miner [n][n]
zts928e	Old Pickaxe
zts929e	Sell this to shops. [n] Can be acquired from old miner [n][n]
zts930e	Broken Flute
zts931e	Sell this to shops. [n] Can be acquired from miner captain [n][n]
zts932e	Bacon and Egg Fry
zts933e	Slowly increases HP & MP [n] Restores Nosmate within 3 cells [n] Can be taken during breaks [n][n]
zts934e	Ham Egg Sandwich
zts935e	Roasted Herring
zts936e	Delicious Lunch
zts937e	Pork and Drink
zts938e	Pizza and Drink
zts939e	Seed Food and Drink
zts940e	Healthy Lunch
zts941e	Peanuts
zts942e	Slowly increases HP & MP [n] Restores Nosmate within 3 cells [n][n]
zts943e	Biscuit
zts944e	Jerky
zts945e	Chocobar
zts946e	Fried Chicken
zts947e	Battle Potion
zts948e	Empty Bottle
zts949e	An essential requirement to make liquid potion [n][n]
zts950e	Blank Amulet
zts951e	An essential requirement to make an amulet [n][n]
zts952e	Magic Bead
zts953e	Leaf of Luinia
zts954e	Mystery Bug
zts955e	Low-quality Metal Bar
zts956e	Collecting 5 items [n] with a production tool kit [n]to improve its quality. [n][n]
zts957e	Normal Metal Bar
zts958e	High-quality Metal Bar
zts959e	Rare Metal Bar
zts960e	The best quality [n][n]
zts961e	Low-quality Tree
zts962e	Normal Tree
zts963e	High-quality Tree
zts964e	Rare Tree
zts965e	Low-quality Rag
zts966e	Normal Rag
zts967e	High-quality Rag
zts968e	Rare Rag
zts969e	Low-quality Leather
zts970e	Normal Leather
zts971e	High-quality Leather
zts972e	Rare Leather
zts973e	Dye(1)
zts974e	Dye(2)
zts975e	Dye(3)
zts976e	Dye(4)
zts977e	Dye(5)
zts978e	Dye(6)
zts979e	Dye(7)
zts980e	Dye(8)
zts981e	Dye(9)
zts982e	Dye(10)
zts983e	Dye(11)
zts984e	Dye(12)
zts985e	Dye(13)
zts986e	Dye(14)
zts987e	Dye(15)
zts988e	Dye(16)
zts989e	Dye(17)
zts990e	Dye(18)
zts991e	Dye(19)
zts992e	Dye(20)
zts993e	Wing of Return
zts994e	Return you to the village [n] Remembers your current location [n] and will return you there when you use the Amulet of Return [n][n]
zts995e	Amulet of Return
zts996e	Returns you to the place where the Wing of Return was used. [n] After returning, the location will be forgotten. [n][n]
zts997e	Bell of Sweet Home
zts998e	Transports character home. [n] returns character to previous location. [n] on leaving home. [n][n]
zts999e	Wolf Mane
zts1000e	Sold at the shop [n] Can be acquired from the wolf [n][n]
zts1001e	Pork Chop
zts1002e	Sold at the shop [n] Can be acquired from the Hog [n][n]
zts1003e	Turtle Shell
zts1004e	Sold at the shop [n] Can be acquired from the turtle [n][n]
zts1005e	High-concentrated Propolis
zts1006e	Sold at the shop [n] Can be acquired from Hive Tree [n][n]
zts1007e	Appropriate Pet Food
zts1008e	Used to feed your pet [n] Increases pet's experience point up to the appropriate level [n] and its loyalty increases by 100 [n][n]
zts1009e	Delicious Pet Food
zts1010e	Used to feed your pet [n] Increases pet's experience point up to the appropriate level [n] and its loyalty increases by 100 [n][n]
zts1011e	Pet Trainer
zts1012e	Summons a trainer to increase a pet's attack and defense levels. [n] When the pet attacks the trainer or is attacked by the trainer, [n] its attack and defense level will increase respectively [n][n]
zts1013e	Event Zone Movement Equipment
zts1014e	Bullet for Catapult
zts1015e	Small stones for catapult [n] 100 can be loaded once [n][n] [n]
zts1016e	Crossbow Bolts
zts1017e	Bullets for Crossbow [n] 100 can be loaded once [n][n] [n]
zts1018e	Arrows for Short Bow
zts1019e	Arrows for Short Bow [n] 100 can be loaded once [n][n] [n]
zts1020e	Arrows for Long Bow
zts1021e	Arrows for Long Bow [n] 100 can be loaded once [n][n] [n]
zts1022e	Detoxification Herb
zts1023e	Detoxifies poison [n] Able to be used with detoxification skill [n][n]
zts1024e	Pre-use Poison
zts1025e	Required to poison the weapon [n] Can be used with specialized skill to handle poison [n][n]
zts1026e	Bandage
zts1027e	Stops bleeding up to level 2 [n][n]
zts1028e	Pet Collector
zts1029e	Returns selected pet to nature. [n] Once returned, you cannot meet it ever again [n][n]
zts1030e	Pet's Guardian Doll
zts1031e	In case a pet is about to die, [n] one doll is consumed [n] and the pet is moved next to the player [n] HP of the pet recovers in half [n][n]
zts1032e	Royal Jelly
zts1033e	Sell this to shops.. [n] Can be acquired from Queen Bee [n][n]
zts1034e	Spider Web
zts1035e	Sell this to shops.. [n] Can be acquired from Spider [n][n]
zts1036e	Eye of Spider King
zts1037e	Sell this to shops.. [n] Can be acquired from Spider King [n][n]
zts1038e	Bug Shell
zts1039e	Sell this to shops.. [n] Can be acquired from Wasp and Wiggler [n][n]
zts1040e	Bead of Darkness
zts1041e	Sell this to shops.. [n] Can be acquired from Strawee, Skulleton, Golem, and DustDeath [n][n]
zts1042e	Broken Broomstick
zts1043e	Lucky Filter
zts1044e	Magic Potion
zts1045e	Used for making various magic materials. [n] Also used to split Crystal of Crescent. [n][n]
zts1046e	Herb
zts1047e	Essential requirement for making various potions and herb medicines [n][n]
zts1048e	Red fruit
zts1049e	Used for making potion that restores HP [n][n]
zts1050e	Blue Herb
zts1051e	Used for making potion that restores MP [n][n]
zts1052e	Mysterious Ink
zts1053e	Used to write magic filed on an amulet. [n] Can be dropped. [n][n]
zts1054e	Dandelion
zts1055e	Used to make herb medicine [n][n]
zts1056e	Ginseng
zts1057e	Used to make herb medicine [n][n]
zts1058e	Antler
zts1059e	Stone of Square Shape
zts1060e	Construction stone for Home [n][n]
zts1061e	Mysterious Seed
zts1062e	Small Pot of Mystery
zts1063e	Brightening Bead
zts1064e	Growing Seedling
zts1065e	Big Pot of Mystery
zts1066e	Seed Bed
zts1067e	Blessed Earth
zts1068e	Growing Seeds
zts1069e	Mixed Grain
zts1070e	Used for cooking. [n] Currently, can be dropped [n][n]
zts1071e	Vegetable Salad
zts1072e	Can be used for cooking [n][n]
zts1073e	Fruit Salad
zts1074e	Mixed Meats
zts1075e	Mixed Seafood
zts1076e	Sweet Powder
zts1077e	Used for cooking. [n] Currently, can be purchased at the mart. [n][n]
zts1078e	Salty Powder
zts1079e	Used for cooking. [n] Currently, can be purchased at the mart. [n][n]
zts1080e	Hot Powder
zts1081e	Sour Powder
zts1082e	Cooking Oil
zts1083e	Cheese and Egg
zts1084e	Spices
zts1085e	Luinia of Protection
zts1086e	Luinia of Restore
zts1087e	Useful during the TimeSpace missions where an NPC needs to be protected. [n] Can recover up to 800 HP of an NPC within 6 cells. But it has no effect on players and Nosmates. [n][n]
zts1088e	Good Bandage
zts1089e	Stops bleeding up to level 3
zts1090e	Pet Trainer with Diploma
zts1091e	Summons a trainer to increase a pet's attack and defense levels. [n] This trainer has studied abroad and has a diploma [n] When the pet attacks the trainer or is attacked by the trainer, [n] the pet's attack and defense levels will increase respectively [n][n]
zts1092e	Potion of Hair style
zts1093e	Changes the style of the hair.[n][n]
zts1094e	Crape
zts1095e	Generates 200 of extension MP [n] But can not exceed 20% of total MP [n][n]
zts1096e	Mashed Potato
zts1097e	Generates 200 of extension HP [n] But can not exceed 20% of total HP [n][n]
zts1098e	Noodle
zts1099e	Generates 400 of extension HP [n] But can not exceed 20% of total HP [n][n]
zts1100e	Sandwich
zts1101e	Generates 400 of extension MP [n] But can not exceed 20% of total MP [n][n]
zts1102e	Cheese Stick
zts1103e	Generates 600 of extension MP [n] But can not exceed 40% of total MP [n][n]
zts1104e	Potato Fries
zts1105e	Generates 600 of extension HP [n] But can not exceed 40% of total HP [n][n]
zts1106e	Fruit Pie
zts1107e	Pudding
zts1108e	Sushi
zts1109e	Pork Rib
zts1110e	Vitamin Capsule
zts1111e	Fertilizer
zts1112e	Nos Coin
zts1113e	Special Card
zts1114e	Sweet Potato
zts1115e	Garlic Bread
zts1116e	Rice
zts1117e	Roasted Potato
zts1118e	Potato Salad
zts1119e	Vegetable Salad
zts1120e	Chicken Salad
zts1121e	Shrimp Salad
zts1122e	Dowsing Stick
zts1123e	Holy Crystal Ball
zts1124e	Increases dignity by 100 [n] Cannot exceed the max [n][n]
zts1125e	Pet Name Tag
zts1126e	Allows you to name the pet [n] [How to use] [n] Select a pet, and double-click the tag [n] Insert the name [n][n]
zts1127e	The Best Pet Food
zts1128e	Increases pet's loyalty to max [n] In addition, it increases pet's level by 1 [n] But can be used only [n] when pet's level is lower [n] than player's level by +5 [n] (If player level is 50, [n] it can be increased up to 45) [n][n]
zts1129e	Medicine for Partner
zts1130e	Increases partner's loyalty to max [n] In addition, increases pet's level by 1 [n] But can be used only [n] when pet's level is lower [n] than player's level by +5 [n] (If player level is 50, [n] it can be increased up to 45) [n][n]
zts1131e	Wing of Friendship
zts1132e	Can fly you to your friend immediately [n] [How to use] [n] Open your friend list [n] Click the 'Go' icon [n] You can go to your friend, [n] by consuming one wing. [n][n]
zts1133e	Hair Styling Wax A
zts1134e	Can change hair style to [type A] [n] Adventurer cannot use it [n][n]
zts1135e	Hair Styling Wax B
zts1136e	Can change hair style to [type B] [n] Adventurer cannot use it [n][n]
zts1137e	Red Hair-dye
zts1138e	Dyes hair red. [n]
zts1139e	Green Hair-dye
zts1140e	Dyes hair green. [n]
zts1141e	White Hair-dye
zts1142e	Dyes hair white. [n]
zts1143e	Blue Hair-dye
zts1144e	Dyes hair blue. [n]
zts1145e	Black Hair-dye
zts1146e	Dyes hair Black. [n]
zts1147e	Potion to increase dignity
zts1148e	Increases dignity to Max
zts1149e	Cake to celebrate Nosmall opening
zts1150e	Slowly restores HP and MP [n] Restore Nosmate within 3 cells. [n] Special item to celebrate Nosmall opening! [n][n]
zts1151e	Stone of Team Summon
zts1152e	Can be used by the team leader [n] to bring team members [n] to his place. [n] But it can only be used [n] at the starting map of the raid [n][n]
zts1153e	Yellow Handkerchief of Separation
zts1154e	Separated from the partner [n] the partner cannot [n] be met again [n][n]
zts1155e	Claw of Slade
zts1156e	Claw of Slade, ancient creature [n] Demon and Catsy keep it. [n][n]
zts1157e	Speaker
zts1158e	Can deliver the message [n] to all people in the server [n] Message will be on [n] Chat Window [n] [How to use] [n] Double-click the speaker [n] and insert the message. [n][n]
zts1159e	Words Balloon
zts1160e	Medicine of Antler
zts1161e	Restores HP and MP slowly [n] Restore Nosmate within 3 cells. [n] Christmas Event item. [n][n]
zts1162e	Soup of New Year
zts1163e	Restores HP and MP slowly [n] Restore Nosmate within 3 cells. [n] Can have it during break [n] New year item [n][n]
zts1164e	Unidentified Red Stuff
zts1165e	Unknown for its usage and identity
zts1166e	Zombie and Anti-biotic
zts1167e	Protects from the infection. [n] Can be used on Nosmate and [n] other characters. [n][n]
zts1168e	Unidentified Blue Stuff
zts1169e	Unidentified Green Stuff
zts1170e	Log House
zts1171e	Can build a house in the homeland [n] And then decorate the terrace. [n][n]
zts1172e	Sweet Home
zts1173e	Can build a house in the homeland [n] And then decorate the terrace. [n] Up to 25 characters can enter. [n][n]
zts1174e	Assistance Tent
zts1175e	Can build a small wing in the homeland. [n] And then decorate the garden. [n][n]
zts1176e	Comfortable Wing
zts1177e	Medium Warehouse
zts1178e	Can build the warehouse (Slot No. is 14) [n] Can share items with other characters in the same account. [n] (The warehouse has to be built on both sides) [n] Only one warehouse can be built. [n] Some items cannot be withdrawn [n] if being moved to a smaller warehouse. [n][n]
zts1179e	Large Warehouse
zts1180e	Can build the warehouse (Slot No. is 21) [n] Can share items with other characters in the same account. [n] (The warehouse has to be built on both sides) [n] Only one warehouse can be built. [n] Some items cannot be withdrawn [n] if being moved to a smaller warehouse. [n][n]
zts1181e	Lamp with Steel-beads
zts1182e	Lamp with Bronze-beads
zts1183e	Pine in Round-pot
zts1184e	Pine in Square-pot
zts1185e	Pine in Decoration-pot
zts1186e	Tomato Plant
zts1187e	Yellow Tomato Plant
zts1188e	Tomato Plant in Pot
zts1189e	Yellow Tomato Plant in Pot
zts1190e	White Shelf
zts1191e	Pink Shelf
zts1192e	Sculpture of Delighted Woolly
zts1193e	Sculpture of Happy Woolly
zts1194e	Bean Data
zts1195e	Big Pot of Red Flowers
zts1196e	Big and Stylish. [n] Artificial flowers. [n] Not very expensive. [n][n]
zts1197e	Bed of Blue Flowers
zts1198e	Bed of Red Flowers
zts1199e	Pot of Blue Flowers
zts1200e	Sculpture of Dryad in Fury
zts1201e	Sculpture of Dryad in Despair
zts1202e	Bronze Lamp
zts1203e	Lamp of Stylish Curve Lines. [n][n]
zts1204e	Marble Lamp
zts1205e	White Parasol
zts1206e	Creates a shadow. [n][n]
zts1207e	Parasol with Red Stripes
zts1208e	Pink Parasol
zts1209e	Parasol with Star-mark
zts1210e	Round Trunk
zts1211e	Trunk in round shape [n] Not expensive [n] Widely used for garden decoration [n][n]
zts1212e	Round Trunk with Yellow Fruit
zts1213e	Round Trunk with Golden Fruit
zts1214e	Round Trunk with Red Fruit
zts1215e	Daisy in White Pot
zts1216e	Daisy in Flower Bed
zts1217e	Daisy in Blue Pot
zts1218e	Jasmine in White Pot
zts1219e	Jasmine in Flower Bed
zts1220e	Jasmine in Blue Pot
zts1221e	Lily in White Pot
zts1222e	Lily in Flower Bed
zts1223e	Lily in Blue Pot
zts1224e	Purple Hyacinth in White Pot
zts1225e	Purple Hyacinth in Flower Bed
zts1226e	Purple Hyacinth in Blue Pot
zts1227e	Pink Hyacinth in White Pot
zts1228e	Pink Hyacinth in Flower Bed
zts1229e	Pink Hyacinth in Blue Pot
zts1230e	White Hyacinth in White Pot
zts1231e	White Hyacinth in Flower Bed
zts1232e	White Hyacinth in Blue Pot
zts1233e	Elephant Sculpture
zts1234e	Thorny Rat Sculpture
zts1235e	Picnic Set 1
zts1236e	Picnic Set with Snack and Coffee [n][n]
zts1237e	Bushtail No.1
zts1238e	Artwork of world famous sculptor Bushtail. [n] It is his first work [n] created when he was young [n] very popular, low price [n]
zts1239e	Not in use
zts1240e	Pond
zts1241e	Makes small ponds [n] Includes construction cost [n][n]
zts1242e	Not in use
zts1243e	Flower Bed of Red Roses
zts1244e	Never-withering roses [n] spreads awesome fragrance [n][n]
zts1245e	Flower Bed of White Roses
zts1246e	Square Shaped Lamp
zts1247e	Round Parasol
zts1248e	Square Parasol
zts1249e	Stylish Parasol
zts1250e	Wet Tent
zts1251e	Pink Carpet
zts1252e	Green Carpet
zts1253e	Decoration Stone 1
zts1254e	Decoration Stone 2
zts1255e	Decoration Stone 3
zts1256e	Decoration Stone 4
zts1257e	Bird Cage 1
zts1258e	Bird Cage 2
zts1259e	Tea Table (Antique style)
zts1260e	Tea Table (Luxury style)
zts1261e	Table
zts1262e	Table (Pine)
zts1263e	Table (Marble)
zts1264e	Table (Cheery wood)
zts1265e	Party Table (Pink)
zts1266e	Party Table (Orange)
zts1267e	Stylish Trunk - 1
zts1268e	Trunk carved in style [n][n]
zts1269e	Stylish Trunk - 2
zts1270e	Stylish Trunk - 3
zts1271e	Stylish Trunk - 4
zts1272e	Chestnut Pot 1
zts1273e	Pot made from wood [n] Makes the flowers last long [n][n]
zts1274e	Chestnut Pot 2
zts1275e	Chestnut Pot 3
zts1276e	Oak Pot 1
zts1277e	Oak Pot 2
zts1278e	Oak Pot 3
zts1279e	Red Rose Decoration
zts1280e	Make a heart-shaped decoration [n] with red roses [n] a bit expensive but [n] very popular [n][n]
zts1281e	White Rose Decoration
zts1282e	Picnic Set 2
zts1283e	Enjoy an easy and [n] stylish picnic with wine [n][n]
zts1284e	Picnic Set 3
zts1285e	Sculpture of Wolf 1
zts1286e	Sculpture of Wolf 2
zts1287e	Big & Stylish Warehouse
zts1288e	Small Wing House
zts1289e	Small Warehouse
zts1290e	Can build the warehouse (Slot No. is 7) [n] Can share items with other characters in the same account. [n] (The warehouse has to be built on both sides) [n] Only one warehouse can be built. [n] Some items cannot be withdrawn [n] if being moved to a smaller warehouse. [n][n]
zts1291e	Piggy Bank
zts1292e	Can build middle-size house in the homeland [n] Max HP of partner increases by 1,000 [n][n]
zts1293e	Cherry Tree
zts1294e	Can build big-size house in the homeland [n] Max HP of partner is increased by 2,000 [n][n]
zts1295e	Can be built with red log cabin [n] Can use 30 slots in the warehouse [n] Warehouse is to be shared in same account [n][n]
zts1296e	Garden Lamp - 1
zts1297e	A lamp made of steel [n] Makes the character sentimental [n][n]
zts1298e	Garden Lamp - 2
zts1299e	Stylish Trunk - 5
zts1300e	Stylish Trunk - 6
zts1301e	Big-size 2nd Story Warehouse
zts1302e	Can be used for 30 days after installation [n] Can use 56 slots [n] Time is counted from the installation [n] [Warning] Will disappear when the time is up [n] Items have to be shifted in advance [n] If moving into small warehouse, all the items cannot be moved [n][n]
zts1303e	Christmas Tree
zts1304e	Christmas Signboard
zts1305e	Land - 1 (Spring)
zts1306e	Land - 2 (Summer)
zts1307e	Land - 3 (Fall)
zts1308e	Land - 4 (Winter)
zts1309e	Long Sword of Guard
zts1310e	Special-looking Necklace
zts1311e	Special-looking Dagger
zts1312e	Special-looking Sword
zts1313e	Special-looking Stick
zts1314e	Necklace of Hell Dog
zts1315e	Amulet of Phantom
zts1316e	Black Slate
zts1317e	Cigarette Case of Lamos
zts1318e	Fragrant Grass
zts1319e	Sunlight Water
zts1320e	Mandra Flower
zts1321e	Chasing Perfume
zts1322e	Small Net for Sniffer
zts1323e	Magic Powder
zts1324e	Heart of Red Clay Golem
zts1325e	Bloody-shining Ruby
zts1326e	Small Bloody Ruby
zts1327e	Red Tree Fruit
zts1328e	Whiskers of Blue Mole
zts1329e	Super Mask
zts1330e	Super Pants
zts1331e	Super Cloak
zts1332e	Super Spellgun
zts1333e	Box of Treasure
zts1334e	Sculpture of Whirl
zts1335e	Black Gourd Bottle
zts1336e	Black Dog Gum
zts1337e	Black Powder
zts1339e	Kenko's Mirage Marble
zts1340e	Amulet of Soul
zts1341e	Cane of Purity
zts1342e	Holy Red Branch
zts1343e	Wheat
zts1344e	Steel
zts1345e	Sniffer
zts1346e	Suspicious Trace
zts1347e	Block Button
zts1348e	Block Button (After operation)
zts1349e	Gate 1
zts1351e	Gate 2
zts1352e	Gate 3
zts1353e	Probability of betting (Rare Lv.) is increased by 10% and [n] even in failure, the equipment will be protected [n] Used for weapons and equipment [n] (Can be used 3 times) [n][n]
zts1354e	When betting (Rare Lv.) fails, the equipment will be protected [n] Used for weapons and equipment [n] (Can be used 3 times) [n][n]
zts1355e	Medal from Secret Partner event [n] Experience point is increased by 5% [n] Party members points is increased [n] by 5% (Can be used for 10 days) [n][n]
zts1356e	TimeSpace for training [n] Can enter immediately. [n][n]
zts1358e	Experience point for battle increase 30%. [n] Experience point for job increases 30%. [n] Experience points of pet and partner increases 30%. [n] Obtained Gold increases 20%. [n] Obtained fame increases 20%. [n] (Can be used for 3 days) [n][n]
zts1359e	Ribbon
zts1360e	Item for Valentine's day [n][n]
zts1361e	Gift box
zts1362e	Valentine's day gift set
zts1363e	Boiled egg in magic
zts1364e	Chocolate piece
zts1365e	Medal of Eril
zts1366e	Required to operate a specific structure in the quest. [n] so keep it well. [n][n]
zts1367e	If used, it gives the image of Kenko trooper [n] to cheat devil. [n] Used for quest, so keep it well. [n][n]
zts1368e	Chicken costume card
zts1369e	Sucking funnel
zts1370e	Decrease HP of Kenko troops to red color [n] and double-click. [n] Can be used for one object for only one time [n] if successful, you can get the mirage bead. [n][n]
zts1371e	Amber of Light element
zts1372e	Amber of Dark element
zts1373e	Amber of Water element
zts1374e	Amber of Fire element
zts1375e	Chicken-King Seal
zts1376e	NPC-Marker
zts1377e	Gives 50% more damage to Chicken-king. [n] Does not have element [n] and only keep flying. [n] If you bring it longer [n] it feels better and sometimes takes the food. [n] If the food is not in inventory [n] it feels bad again. [n][n]
zts1380e	Through chicken farm in Milano [n] you can do 'Chicken-king Raid'. [n] Recommend Lv. : 20 - 99 [n] [how to use] The user becomes the team leader. [n] After being a leader, click other character [n] and click 'invitation' button. [n] Go to Raid entrance [n] if the leader enters [n] all members will enter the raid automatically. [n] [warning] The character with higher Lv. than the recommended one [n] can enter the raid, but will get the penalty. [n] (Heart is not increased, No treasure box in time of success) [n][n]
zts1381e	Candy
zts1382e	Gift set for White day
zts1383e	Slowly increases HP and MP. [n] Restores Nosmate within 3 cells. [n] Restores some part of user's HP. [n] (Except for Nosmate) [n][n]
zts1384e	Pure juice of fruit
zts1385e	Sticky clay
zts1386e	Statue of Shinbone
zts1387e	Brick
zts1388e	Lawn
zts1389e	Spade
zts1390e	Treasure map
zts1391e	Brave dog-mask
zts1392e	Shining plastic hat
zts1393e	Pickaxe
zts1394e	Shining crushed rock
zts1395e	small hand mirror
zts1396e	Red mask
zts1397e	Red cloth
zts1398e	Tooth of Beast
zts1399e	Precious Pot
zts1400e	Part of letter
zts1401e	Key of Black Diamond
zts1402e	Hammer of pain
zts1403e	[n][n]
zts1404e	Sealed Jajamaru Card
zts1405e	Bead of sealed Princess Sakura
zts1406e	Bead of Princess Sakura
zts1407e	Jajamaru Card
zts1408e	Equipment protection scroll
zts1409e	Using this, you can do upgrading or betting immediately. [n] In failure, the equipment won't disappear. [n] In time of betting, even if lower level comes than current level [n] current Lv. will be protected. [n] [How to use] Double-click for protection. [n] If double-clicked again, the protection is cancelled. [n] (Item won't be consumed in this time) [n] If you upgrade or bet in protection mode, [n] 1 protection scroll will be consumed
zts1410e	Scroll to release fixed-Lv.
zts1411e	Upgrade equipment with fixed levels. [n] Double-click the scroll, [n] and click the item [n]to release it. [n]
zts1412e	Giant Hammer
zts1413e	Essence of spirit
zts1414e	Dung of fairy
zts1415e	Essence of soul
zts1416e	Hair pin of Princess Sakura
zts1417e	Stone with the shape of peak hat
zts1418e	Seal of Namaju Raid
zts1419e	Tombstone gate
zts1420e	Shining stone
zts1421e	NOS Event box
zts1422e	When you open the event box, [n] you can get one of items. [n][n]
zts1423e	Upgrade the fixed Lv. of the equipment. [n] Double-click the scroll, [n] and click the item, [n] it will be released immediately. [n]
zts1424e	Alphabet event item. [n] If used, it slowly increases HP 1000. [n] Collect all alphabets, [n] and bring them to the specific NPC [n] and you can get the treasure box. [n] When event is finished, [n] item will disappear. [n][n]
zts1425e	Alphabet event item. [n] If used, it slowly increases MP 1000. [n] Collect all alphabets, [n] and bring them to the specific NPC [n] and you can get the treasure box. [n] When event is finished, [n] item will disappear. [n][n]
zts1426e	Alphabet event item. [n] If used, it slowly increases HP 1000 and MP 1000 . [n] Collect all alphabets, [n] and bring them to the specific NPC [n] and you can get the treasure box. [n] When event is finished, [n] item will disappear. [n][n]
zts1427e	When the seal is broken, [n] it changes to Jajamaru card. [n]
zts1428e	When the seal is broken, [n] it changes to Princess Sakura bead. [n]
zts1429e	When the seal is broken, [n] it changes to Jajamaru card. [n]
zts1430e	When the seal is broken, [n] it changes to Princess Sakura bead. [n]
zts1431e	Fire Element Specialist Card[n][n]Return of the legend !! [n] Jajamaru comes to Nostale [n] to rescue Princess Sakura!! [n]
zts1432e	Item for quest [n] Double-click it, [n] and can enter Instant TimeSpace. [n][n]
zts1433e	Return of the legend !! [n] Jajamaru comes to Nostale [n] to rescue Princess Sakura!! [n]
zts1434e	Seal of Namaju Raid
zts1435e	Through Namaju's mansion in Northern Milano [n] you can do 'Namaju Raid'. [n] Recommend Lv. : 50 - 99 [n] [How to use] The user becomes the team leader. [n] After being a leader, click other character [n] and click 'invitation' button. [n] Go to Raid entrance [n] If the leader enters [n] all members will enter the raid automatically. [n] [warning] The character with higher Lv. than the recommended Lv. [n] can enter the raid, but will get the penalty. [n] (Heart is not increased, No treasure box in time of success) [n]
zts1436e	Riddle box
zts1437e	Through Namaju's mansion in Northern Milano [n] you can do 'Namaju Raid'. [n] Recommend Lv. : 50 - 99 [n] [How to use] The user becomes the team leader. [n] After being a leader, click other character [n] and click 'invitation' button. [n] Go to Raid entrance [n] If the leader enters [n] all members will enter the raid automatically. [n] [warning] The character with higher Lv. than the recommended Lv. [n] can enter the raid, but will get the penalty. [n] (Heart is not increased, No treasure box in time of success) [n][n]
zts1438e	Application for land conqueror battle
zts1439e	Music box
zts1440e	If used, you can enjoy NosDance in home land. [n][n]
zts1441e	Cat hat
zts1442e	Donkey hat
zts1443e	Protects from Mandragora's scream at a certain probability when equipped [n][n]
zts1444e	Cowboy Hat
zts1445e	Monkey hat
zts1446e	If used, it protects from passing out [n][n]
zts1447e	Antelope-horn hat
zts1448e	MorningGlory' hat
zts1449e	Penguin hat
zts1450e	Old gentleman's hat
zts1451e	Big-ear hair band
zts1452e	Flower vase hat
zts1453e	Damaged key of Black Diamond
zts1454e	Black Diamond
zts1455e	Event meat
zts1456e	If used, you will get one chance out of four : [n] Increase HP, Increase MP, [n] Increase SP, Nothing. [n] If 10 items are given to Vellochika [n] with 20,000 Gold, [n] it can be traded with ticket for festival. [n] Will be removed when the event is over. [n][n]
