zts1e	Training for Rookie Adventurer
zts840e	Challenge the first gateway using Time-space gateway1 which was received from Jerico.
zts841e	Challenge the second gateway using Time-space gateway2.
zts842e	Challenge the last gateway using Time-space gateway3.
zts843e	Dark revenger
zts844e	Inquire into a fragment of memory.
zts845e	Look for something about the fragment of memory.
zts846e	Delivery the thing about the fragment of memory.
zts847e	Delivery the fragment of memory.
zts848e	Look for clues through the past.
zts849e	Pay amount demanded.
zts850e	Collect the materials of Spear of priest.
zts851e	Delivery Unfinished spear of priest.
zts852e	Complete Spear of priest.
zts853e	Delivery Spear of priest.
zts854e	Defeat Echekaluel.
zts855e	Frozen Crown
zts856e	Listen to Eril Counter's request.
zts857e	Deliver Eril Counter's letter.
zts858e	Deliver the letter to Sandra Blake.
zts859e	Go to the port.
zts860e	Return to Sandra Blake.
zts861e	Go see Leika Cutlass.
zts862e	Meet Eril Counter.
zts863e	Inform that you're ready to go on a journey.
zts864e	Enquire what you have to do.
zts865e	Deliver the recommendation letter.
zts866e	Meet the great wizard, Fair Roshu
zts867e	Return to Rudin Frozen Heart.
zts868e	Gather information.
zts869e	Deliver the logbook.
zts870e	Gather more information.
zts871e	Deliver the additional information.
zts872e	Deliver the information you have gathered.
zts873e	Gather additional information.
zts874e	Find out who the messenger is.
zts875e	Deliver Mukraju's Magic Book.
zts876e	Ask about Lateor's Egg.
zts877e	Collect 10 tree sticks in low-quality.
zts878e	Let¡¯ move to the well in Rocking-Rolling Cliff from Morning Prairie.
zts879e	Clear TimeSpace in the mode 'Record Challenge' with higher score than required one!
zts880e	Explore Laboratory
zts881e	Guide by Ancient soul
zts882e	Clear TimeSpace.
zts883e	Santa Claus¡¯s request
zts884e	Hunt monsters for protecting children!!
zts885e	Report to Santa Claus!
