zts1e	Milano Tool Shop (Use)
zts1580e	Act 2
zts1581e	This place of smells of devils. Mt. Krem is also full of it.
zts1582e	What brought you here?
zts1583e	Kenel! Good to see you!!
zts1584e	While I was focusing on the war in Milano, Mt. Krem became so chaotic with the presence of the devils.
zts1585e	Watch out!!
zts1586e	(Sigh!!) .. Devils here tougher than the ones in Milano.
zts1587e	Anything special in the town?
zts1588e	It is very quiet. Come visit us. I have several things to tell you. Master also wants to know how you are doing.
zts1589e	Haha.. yes.. Surely I will..
zts1590e	I will investigate this place for a while.
zts1591e	I will come along with you!
zts1592e	Hmmmm.
zts1593e	Anything happened?
zts1594e	No, not really. I feel disgusted because of this bad smell.
zts1595e	The Scent of the Devil. I am disgusted by it as well.
zts1596e	I am not talking about the devil's scent. It is slightly different.
zts1597e	Something even stranger. It gives me a headache.
zts1598e	This is Catsy!!
zts1599e	HoHoHoHo~
zts1600e	Just stop there!! You nasty creature!!
zts1601e	Those who do not know how to appreciate!! Bye!!
zts1602e	Where is it? Uh?
zts1603e	It's of no use. It disappeared. Instead, other guests are coming here.
zts1604e	Kenel! I have something to ask. Who or what is that Catsy?
zts1605e	A very disgusting species!
zts1606e	Dis. disgusting?
zts1607e	They are strange smelling creatures with weird names, moving around in dirty clothes.
zts1608e	I do not know what you mean.. what is disgusting?
zts1609e	Let's not talk about it anymore!
zts1610e	But why did it say, people who do not know how to appreciate?
zts1611e	Do not pay attention to those stupid comments!
zts1612e	But.. Don't you think something is strange?
zts1613e	I don't want to talk about it anymore. By the way, let's get out of here. It is of no use to investigate further.
zts1614e	The ruins of Fernon can be seen. Even though the energy streams were cut off and has withered. it still looks very dangerous.
zts1615e	Then is it because of the Fernon that the devils are becoming more aggressive and violent nowadays. But Fernon is sleeping, so?
zts1616e	Fernon is not sleeping.
zts1617e	Who? Who is there?
zts1618e	Haha. You'd better watch out for the Devils.
zts1619e	Who on earth is it??
zts1620e	Hmm. You. Better than I thought. Haha.
zts1621e	Where are you? Come out here and say!!
zts1622e	Here.. there is.
zts1623e	No! If you are curious, come and see for yourself.
zts1624e	Huh!! Was I deceived??
zts1625e	Yap.. Good job!!
zts1626e	This.. you did this?
zts1627e	No.
zts1628e	Are you making fun of me?
zts1629e	Hehe.. I don't have time to make fun of you, see?
zts1630e	Do you see the lever at the center of the screen?
zts1631e	Hmmm. Yes.
zts1632e	Pull it.
zts1633e	Hey! By the way, who are you?! Why are you making fun of me?
zts1634e	Hmm.. I never made fun of you.
zts1635e	Stop fooling around and show yourself!
zts1636e	In the next room.
zts1637e	What?
zts1638e	Hahaha! If you come here, you can find me! Come on over! Why don't we talk over some coffee?
zts1639e	Where are you!! Show yourself immediately!!
zts1640e	Ta-da
zts1641e	Yeeeks!
zts1642e	Nice to meet you. My name is Charlotte de Whitewine!! I'm a noble princess of the Forest family!
zts1643e	Who.. Who.. Who.. Who.. Who are you!!
zts1644e	You Fool!! You've never seen a Catsy before?
zts1645e	Hahaha. Ca.. ca.. tsy!! I heard that name for the first time today.
zts1646e	No, no!
zts1647e	Well, anyways, nice to meet you! What kind of drink do you want? Coffee, red tea, chocolate, cream soda, fresh fruit juice. Hmm. There's also mineral water if you don't want any of these.
zts1648e	I. I don't need those! Just answer my question!
zts1649e	I feel really embarrassed. You are investigating me like I'm some criminal.
zts1650e	Shut up! Why were you fooling around with me?
zts1651e	I never did.
zts1652e	So what were you doing until now?
zts1653e	I didn't do anything!!
zts1654e	Are you making fun of me?
zts1655e	I didn't even think of something like that. Haha!
zts1656e	(It's cheating me. No. It's fooling me I guess)
zts1657e	Don't give me that look, I feel so embarrassed!!
zts1658e	So, what are you. doing here?
zts1659e	Me? Now, I'm a prisoner of Fernon.
zts1660e	What??
zts1661e	Prisoner of Fernon! Yes it's me! And you are here to save me! Like a knight on a white horse! Thank you very much!
zts1662e	If you are a prisoner, that means you don't have any relationship with the Devils?
zts1663e	Of course I do. They put me here and kept their eye on me. But thanks to you, now I am set free!! Hoho!!
zts1664e	(It's very complicated. I am getting a headache)
zts1665e	You..
zts1666e	Cute, you are. I must say.
zts1667e	Oh!! Don't come closer!!
zts1668e	Then bye!! Hehe!!
zts1669e	Kenel! What is going on?
zts1670e	They were here!
zts1671e	They?
zts1672e	The disgusting Catsies!!
zts1673e	Ahhh!
zts1674e	I don't know why they are irritating us, but if they want a fight, we won't say no. Let's investigate here now.
zts1675e	Soldier 1: Yes!
zts1676e	Soldier 2: Okay Sir!
zts1677e	You!! Humans in front of me!!
zts1678e	Ahhh, you are?
zts1679e	My name is Cenil de Strawberrypie. I am the captain of the Rosebud Knights and White Witch in Catsy. I just want to ask you for directions, so please show me your generosity!!
zts1680e	Ah. yes, please tell me.
zts1681e	Do you know where the dirty Kovolts live?
zts1682e	Ah!!
zts1683e	I don't know why you look so surprised. but if my question was rude, I sincerely apologize.
zts1684e	No, not at all. But, before answering you, I want to ask you one question.
zts1685e	Yes, as you wish.
zts1686e	You Catsy. How do you feel about the Kovolts?
zts1687e	Those foolish, wild and filthy creatures.. I don't even want to mention their name!
zts1688e	And then, why do you want to find them?
zts1689e	To punish their discourtesy!!
zts1690e	The Kovolts around this area are my friends. So with that reason, I am sorry, I can't give you the answer!
zts1691e	Oh!! . You are a friend of the Kovolts?
zts1692e	I don't know you. Go back if you are trying to pick a fight with my friends.
zts1693e	Whoa!! If you are a friend of the Kovolts.
zts1694e	(Cenil is grinning.)
zts1695e	Your are our. enemy!!
zts1696e	Rosebud Knights!! Punish him!!
zts1697e	Rosebud Knights: In the name of Rosebud!!
zts1698e	Ahhhh!!
zts1699e	Don't kill him! We have to keep him alive until we find out where this filthy Kovolt village is!!
zts1700e	Rosebud Knights: Yes Sir!
zts1701e	Will it be?
zts1702e	(Clang!! An explosive sound followed by a cloud of dust)
zts1703e	Hey! Wake up!!
zts1704e	Ah!! Kenel.
zts1705e	Follow me before they see you!!
zts1706e	Haha.. They won't keep you alive, once they know you are on the side of the Kovolts.
zts1707e	Really.
zts1708e	But it's so sad. Because of Fernon, the Koaren family are having a hard time.. Another war is upon us..
zts1709e	Wa.. war? Is it that serious?
zts1710e	Because we are Kovolts and they are Catsies!
zts1711e	.. Is there an old grudge between the two species?
zts1712e	I don't think so.
zts1713e	Then why can't we be friends? Like you and I have become!
zts1714e	Impossible..
zts1715e	Why not? You never even tried.
zts1716e	First of all I don't like the way they look!! Unpleasant!! Disgusting!! Snobbish!!
zts1717e	Do you think that is a good reason?
zts1718e	And their names. At the end of their names.. they put..
zts1719e	What?
zts1720e	They put the name of their favorite food!
zts1721e	(Grrr) . Very. Just very creepy creatures!!
zts1722e	Okay. So. Those problems you had. I mean.. might have.. might have had before.
zts1723e	You human beings can't understand this. Just as you hate the fly and the roach, we hate the Catsies. We just don't get along. It's like oil on water. Once we see each other, we just feel the desire to terminate each other.
zts1724e	And for that, you risk your lives just to terminate them?
zts1725e	Those disgusting creatures that started this war first!!
zts1726e	(He never gets it!!)
zts1727e	Humans. I wanted to ask you for help, but I guess I can't.
zts1728e	Go back!! I don't want to pull you into the faithless fight!!
zts1729e	(Krrrrr) .. They.. They are very strong!! Retreat, retreat!!
zts1730e	Knights of the Rosebud!! Show them our anger and power!!
zts1731e	Kenel!! Are you alright?
zts1732e	Ah! It's you!!
zts1733e	Hmmm.. not bad, but let's not sacrifice more on both sides. But, I want to ask you some questions.
zts1734e	No need to answer!! It's between you and me!! One of us will not be here from now on!!
zts1735e	Do the filthy Kovolts even know the meaning of honor?
zts1736e	Smelly Catsies!! How dare you mention honor with your ugly mouth!!
zts1737e	Both of you stop!! Here, Mr.Cenil de Strawberrypie!! So what do you want to know??
zts1738e	You fools.. Why did you wake Fernon up?
zts1739e	Answer me!!
zts1740e	How did you know that Fernon woke up?
zts1741e	Shame on you! You don't even know what your crime is! Your ignorance is the crime!!
zts1742e	I asked you something. How did you come to know that?!
zts1743e	You sinner. Catsy is a creature of intuition. I know everything.
zts1744e	We didn't wake Fernon up!!
zts1745e	Ah ha! But Fernon doesn't wake up without a Kovolt's blood! So don't keep lying!
zts1746e	That makes sense now. You awoke Fernon and what did you do to our princess?
zts1747e	Princess?
zts1748e	I know you didn't hurt our princess, because even now I can hear her heart beat, but if.
zts1749e	Haha!!
zts1750e	I'll give you a tour of hell if you lay a finger on the princess.
zts1751e	Hahahahaha!! Ahahahahaha!!
zts1752e	Are you laughing at me?
zts1753e	You stinky Catsy.. Listen.. I'm not afraid of your empty threats. By the way, isn't it great.. The life of the Catsy's princess is in my hands!! Hahaha!!
zts1754e	Kenel! What are you talking about!!
zts1755e	Retreat!! Let us go back!!
zts1756e	Remember. Even one scratch on her. And we go to war! And then you will only be able to regret this arrogance.
zts1757e	Kenel!!
zts1758e	(No need to fight anymore! Let's start searching for the Catsy's princess!!)
zts1759e	Brothers!! The Catsy's Princess is somewhere around here!! Get her alive before today!! Let's hurry!!
zts1760e	Ah!! Kenel!!
zts1761e	Oh! What brings you here?
zts1762e	I was just passing by.
zts1763e	Are you by any chance looking for the Catsy's princess, like the others?
zts1764e	No, no, no, no!!
zts1765e	Hmmm. I smell fish, but it doesn't matter. You are human, so we cannot make you follow the Kovolt's law!
zts1766e	Haha, anyway, bye! I don't have much time now.
zts1767e	Sorry.
zts1768e	Brothers!! Catsies are very smart. Look for the princess immediately!! We need to find the Catsy's princess by all means!! Let's hurry!!
zts1769e	Oh.. you.. you are!!
zts1770e	Hey knight! Help me out here!!
zts1771e	What are you talking about!!
zts1772e	I'll just go and hide.. you figure out something to say!!
zts1773e	Ahh!!
zts1774e	What are you doing here??
zts1775e	Did you happen to see any Catsy girl running around here??
zts1776e	Umm. That is.
zts1777e	I guess I shouldn't have asked you.
zts1778e	Ah. We meet again!!
zts1779e	Yeah!! I need to talk to you!!
zts1780e	Sorry, I don't have time for this, bye!
zts1781e	It's dangerous here! You must leave this place immediately!!
zts1782e	I.. know!! Bye!!
zts1783e	Oh!! .. Are you still here?
zts1784e	Yes.
zts1785e	Are you planning to save the Catsy princess?
zts1786e	No.. no.. I don't think.. so..
zts1787e	I don't intend to put any pressure on you, but I am a little disappointed.
zts1788e	Stop right there!!
zts1789e	Oh!! My knight!!
zts1790e	I told you this place is very dangerous!
zts1791e	Ah.. Now.. are you worrying about me?
zts1792e	No, no, no, no, noooo!!
zts1793e	Thanks for your concern!! But I have something to do here!! Bye!!
zts1794e	A fight between Charlotte and Kenel!! If I don't do anything now, it's going to be disastrous!!
zts1795e	Stop this!!
zts1796e	Oh.. My knight!!
zts1797e	Mind your own business!!
zts1798e	Stop it!! Kenel!! She's just a little girl!!
zts1799e	Why are you stopping me?
zts1800e	There's no need to fight! She just came here to seal Fernon!!
zts1801e	I know!! But!!
zts1802e	Then if you knew it.. you should stop!!
zts1803e	But.. Catsy and Kovolt are not compatible!! This is our destiny!!
zts1804e	Will you please you stop it!!
zts1805e	If you guys don't stop arguing. I'll give up.
zts1806e	What are you talking about!!
zts1807e	I'll just go with this old doggy man. I will give up. I'm too tired.
zts1808e	Ar.. ar.. are you insane?!?
zts1809e	By the way.. my knight!
zts1810e	I saved you!!
zts1811e	Haha. you probably don't remember what happened back in Fernon's heart!!
zts1812e	Oh.. you're.
zts1813e	Thanks to you, I had been captured as a prisoner of Fernon for quite sometime.. I guess it's time to pay back!!
zts1814e	She talks too much. Be quiet!! And brothers!! Arrest that smelly Catsy!!
zts1815e	(It's silent. Flames on torches shake the silent air. Koaren guards are patrolling there. Avoid a conflict with them, otherwise the peace pact between the human beings and the Kovolts will be broken.. Let's sneak in there and save Prince Charlotte!!)
zts1816e	Soldier 1: I heard that the dirty Catsies have started strolling around here, right?
zts1817e	Soldier 2: (Grrrrr) A war is about to happen!!
zts1818e	Soldier 1: A war??
zts1819e	Soldier 2: The other day Captain Kenel had big fight with the Catsy knights. If their knights came to Mt. Krem, their goal is very clear!
zts1820e	Soldier 1: (Grrr) I see, so that's why!!
zts1821e	Soldier 2: Why?? What are you talking about?
zts1822e	Soldier 1: There is a certain Catsy that has been captured. She must be around here somewhere.
zts1823e	Soldier 2: Shoot!! That doesn't sound good. I'd hate to see any Catsies!
zts1824e	Soldier 1: Well, anyways it's bad. It's hasn't been long since the war in Milano ended.
zts1825e	Soldier 1: And you know that a Catsy girl is here??
zts1826e	Soldier 2: (Grrrrr) . She smells nasty!!
zts1827e	Soldier 1: Those horrible creatures call it perfume!! Nasty!!
zts1828e	Soldier 2: Ugh.. It just gives me the creeps. I don't know why they are keeping her alive. Just kill her and bury her anywhere!!
zts1829e	Soldier 1: (Grrrrr) . I've worked in this prison for a long time. But I have never felt this sick.
zts1830e	Now, the Rosebud Knights are desperately searching for the princess. If they know that she's here, they will rush here immediately.
zts1831e	Hmmmm.
zts1832e	We will use her as bait to lure them here. Then we will disarm and execute all of them because they polluted our Mt. Krem.
zts1833e	There's no need to kill the princess. And we won't fight against the knights.
zts1834e	Can't you see? Catsy is the only tribe who can seal Fernon. So why should we turn Catsy into our enemies??
zts1835e	No!!
zts1836e	If Fernon wakes up, we are doomed. We'll lose many brothers. And even if we are alive, we'll lose the place to stay.
zts1837e	Grrrr.
zts1838e	I can't let my brothers die just because of some old grudge.
zts1839e	I'll never compromise with Catsy, even if we lose our brothers!!
zts1840e	Stop it. I'll untie the old grudge between Koaren and Catsy. And will put Fernon into everlasting sleep.
zts1841e	Then don't keep her here!!
zts1842e	You!! How did you get in here!!
zts1843e	I guess with his skills, it's a piece of cake!!
zts1844e	I don't know why the princess followed you, but there's no need to keep her here, is there? Please let her go!
zts1845e	No, I can't.
zts1846e	If she falls into the hands of Kenko.
zts1847e	Huh! You seem to understand.
zts1848e	But the Rosebud Knights won't let it happen.
zts1849e	I wanted to see you because of this reason.. It is going to be easy since you are here.
zts1850e	Pass my letter on to the knights.
zts1851e	Yes? What kind of letter?
zts1852e	A peace pact.
zts1853e	Do not interfere with my decision warrior!! Leave now and meet Catsy!!
zts1854e	It's not possible.
zts1855e	And when you go out, go quietly, just as you sneaked in here. Nobody knows you were here, except for the 3 of us. I don't want to make a fuss with you around.
zts1856e	Yes! Got it!! I will persuade Catsy to close it.
zts1857e	Ahh!! Kenel.
zts1858e	.. Sorry..
zts1859e	I cannot let you go.
zts1860e	Please. Reject the order of master.
zts1861e	Sorry.. But I cannot.
zts1862e	(Grrr) And then. Sorry for this.
zts1863e	Brothers!! Arrest him!! Take his letter!!
zts1864e	Gosh!!
zts1865e	Hi!!
zts1866e	Wow! You scared me!!
zts1867e	Still so cute!! Haha!!
zts1868e	I would like to save you.. but I can't. Somebody is chasing me.
zts1869e	Haha. This place is not that bad though.
zts1870e	You don't need to worry. Koaren and Catsy wants to reconcile.
zts1871e	Haha.. I know.. My beauty and my loveliness can melt anyone's heart!! If the Kovolts are not blind, so will they!!
zts1872e	(What a super optimistic girl she is!!)
zts1873e	Hmm. are you also falling for me??
zts1874e	Ah.. Anyway, I will meet the Rosebud Knights and then propose that they close the peace pact! Please wait for a while until then.
zts1875e	What? Did Cenil come?
zts1876e	Didn't you know?
zts1877e	Cenil.. is noisy, picky.. and even boring!!
zts1878e	Hmmm. I feel so bad. My knight. Just leave me alone. I am so down now.
zts1879e	(She's beyond my patience.)
zts1880e	What are you doing? I want to be alone..
zts1881e	Kovolt 1: Stop there.
zts1882e	Kovolt 2: You cannot get out of here!!
zts1883e	Kovolt 3: It's the order of Kenel. Brothers, arrest him!!
zts1884e	Kovolt 1: You don't give up!!
zts1885e	Kovolt 2: But now it's over!!
zts1886e	Kovolt 3: You can't escape here!!
zts1887e	Stop it!
zts1888e	Kovolt 1: Huh!
zts1889e	Kovolt 2: Master!
zts1890e	Do not disturb him anymore!!
zts1891e	Krr. KrrKoaren!!
zts1892e	Warrior! Now leave quickly. I hope you will be back with good news.
zts1893e	KrrKoaren!! Thanks! And do not be anxious! I will persuade Cenil by all possible means!!
zts1894e	Stop there!
zts1895e	You just won't give up, will you?
zts1896e	Please. Hand me the letter.
zts1897e	No, no way!!
zts1898e	I don't want to fight you. But!!
zts1899e	Kovolt and Catsy can never be friends.
zts1900e	Who are you??
zts1901e	Ah.. You are Catsy!!
zts1902e	I am looking for Cenil. I have to meet him.
zts1903e	Huh.
zts1904e	Aren't you from the company of Cenil?
zts1905e	Umm.. What is the reason that you want to meet him?
zts1906e	I have the letter from KrrKoaren! He wants to close the peace pact.
zts1907e	KrrKoaren. a master of Koaren. Right?
zts1908e	Right!
zts1909e	Give me the letter!!
zts1910e	By the way, who are you??
zts1911e	My name is Patrisha de BlackCappuccino. Younger sister of Princess Charlotte. You can call me Patty.
zts1912e	Ah. So you are. The princess was captured by the Kovolts. But do not worry, she is safe. Read this letter first.
zts1913e	(Handed Patrisha the letter from KrrKoaren)
zts1914e	According to what you said.
zts1915e	Without this letter, the peace pact cannot be closed.
zts1916e	(Patrisha tears the letter apart)
zts1917e	Wh.. what are you doing!!
zts1918e	As you saw.
zts1919e	Your sister's life is in danger!!
zts1920e	So what? What's the big deal?
zts1921e	Hohohoho!!
zts1922e	Who. Who on earth are you?!
zts1923e	Princess Patrisha, sister of Princess Charlotte. Ahh!! Someone is coming here.. Hoho!! I will go. Bye!!
zts1924e	Stop there!
zts1925e	That is done. The letter has been torn apart already.
zts1926e	What are you talking about?
zts1927e	I don't know. A strange Catsy girl was coming up all of a sudden and.
zts1928e	Hmmm.. Was it a Darksy?
zts1929e	Yes. Yes??
zts1930e	You don't know that. But the Catsies are divided into two groups. One is liberal and loves peace but the other one, called the Darksy are radical and violent. Of course, Darksy is far more dangerous.
zts1931e	Anyways it is interesting!! Darksy is on my side.. Hahaha!
zts1932e	I couldn´t agree more.
zts1933e	Who!! Who are you!! Where!!
zts1934e	Are you wondering who I am? Even though you don't know who's on your side or on the other?
zts1935e	You!!
zts1936e	I am the princess of Catsy and the master of Darksy. Princess Patrisha de.
zts1937e	Grrr..
zts1938e	Kovolt Soup..
zts1939e	I will kill you.
zts1940e	You stinky Catsy.
zts1941e	Huhu..
zts1942e	(No.. I must not get involved in this fight. Let's get out of here, hurry up and find Cenil)
zts1943e	Surely Cenil is around here. I have to find him and persuade him. If we succeed in making the peace pact between the Kovolts and the Catsies, then there is nothing that Kenel and Darksy can do.
zts1944e	Cenil. Please listen up!
zts1945e	Hmm.. Don't you value your life? How can you come here by yourself?
zts1946e	Stop it! KrrKoaren. the master of Koaren wants to make a peace pact.
zts1947e	Oh. Hohohoho!
zts1948e	It's true. Believe me!!
zts1949e	If you were me, would you believe?
zts1950e	The hatred between the two species are beyond your imagination. It cannot be settled down with your persuasive words.
zts1951e	What is so important about the grudge that you cannot even find the origin of?
zts1952e	Its origin is forgotten easily as time goes by. But even though nobody remembers it, it doesn't mean that an origin is not there. Since we came to the world, we have hated the Catsies. Even though we don't know why.. But the hatred is still alive in our veins. If you say we have to reject that, it means..
zts1953e	It means you're my enemy!!
zts1954e	It will be over!!
zts1955e	Hold on!! Cenil de Strawberrypie!
zts1956e	Ahhh!! You are Patty?
zts1957e	I have never allowed you to use this name.
zts1958e	The title 'Princess' would never match a betrayer!!
zts1959e	How can you call me a betrayer, even though you are against the will of Mother Erenia!!
zts1960e	The heart and the lives of all the Catsies are coming from one source - Princess Charlotte. Everything other than that is considered betrayal.
zts1961e	You didn't give up Charlotte. She's insane.
zts1962e	Just tell me your brief message and leave now. Otherwise, I worry that I just might pierce your heart with my sword.
zts1963e	You have become arrogant. It's okay. I'll tell you my message.
zts1964e	Tie him up!!
zts1965e	I have only one request.
zts1966e	Why?
zts1967e	Haha!!
zts1968e	Why do I have to follow your orders?
zts1969e	Otherwise, Charlotte may die.
zts1970e	!!
zts1971e	You don't seem to understand. You had a fight with KrrKoaren a few days ago.
zts1972e	How dare you. What did you do to the Princess.
zts1973e	HuHu.. It doesn't hurt anyone to obey me. Human! Follow me.
zts1974e	Wh.. What 's the reason to save me?
zts1975e	Do not be in a hurry to listen to the reason.
zts1976e	I won't forgive you Patty. I will kill you.
zts1977e	You will be safe here.
zts1978e	Wh.. Why did you save me?
zts1979e	Because I'm the one who wants to make peace with the Kovolts.
zts1980e	What??
zts1981e	Cenil hates Kovolts. His heart is full of hatred. If you had met him with the letter from KrrKoaren, you would not be alive now.
zts1982e	Really!
zts1983e	It's like flying to the fire.
zts1984e	Then, why did you upset Kenel? Why did you fight him?
zts1985e	Kenel smells of something.. tricky.. just like Cenil.
zts1986e	I don't mind if it's Cenil or Kenel. I would make the peace pact with the Kovolts and will help them handle Fernon.
zts1987e	Will you do it yourself?
zts1988e	HuHuu..!! Do not underestimate a Darksy!!
zts1989e	All of sudden, what are you doing?
zts1990e	Ahh!! Not bad!!
zts1991e	Why did you attack me?
zts1992e	Sorry about that. I just wanted to see what skills you possess. Anyway, let me introduce myself. We are the best troop of the Darksies - the Blackshoes Knights!!
zts1993e	Blackshoes Knights!!
zts1994e	I'll go with them and meet KrrKoaren.
zts1995e	But, why don't you go meet KrrKoaren directly?
zts1996e	Because most Kovolts hate Catsies. But now I have the Blackshoes Knights, I am safe!
zts1997e	Kovolt: Kaaa!!
zts1998e	Oh, what is going on?
zts1999e	Kovolt: Kenkos are here.
zts2000e	Kovolt: KrrKoaren is in danger. Please, help him!!
zts2001e	Kenel's men and the Rosebud Knights are fighting together!
zts2002e	Stop! Stop it right now!!
zts2003e	Why are you stopping me??
zts2004e	What are you doing??
zts2005e	This isn't the right time for this! KrrKoaren is in danger because of Kenko's attack!!
zts2006e	Master??
zts2007e	So what? What does it matter to me?
zts2008e	It does matter to me!!
zts2009e	Patrisha!! And Blackshoes Knights!!
zts2010e	I'll handle this.. you take Kenel and find KrrKoaren!!
zts2011e	I don't need the Catsy's help!!
zts2012e	Kenel!! There's no time for this!
zts2013e	There's no time for you!! Leave it to me! You must look for the master.
zts2014e	Will it be okay?
zts2015e	Hah! This is a piece of cake!
zts2016e	What are you doing!!
zts2017e	You are the Catsy who can handle seal magic?
zts2018e	Let me go! Let me go!!
zts2019e	Kenko.. Stop there!! That's enough!!
zts2020e	Oh my knight! Do something!!
zts2021e	Oh! You are quick!!
zts2022e	It's over!! Give up!!
zts2023e	The Demon snatches Charlotte and runs away.
zts2024e	Ahhh!! Help me!!
zts2025e	No!!
zts2026e	It's good!! Hey human. I won't forget today!!
zts2027e	Are you okay??
zts2028e	Kovolt: Krr.. KrrKoaren. Please. Ahh.
zts2029e	Gosh. He's dead.
zts2030e	That's all right. It's not that serious.
zts2031e	Oh Patrisha..
zts2032e	Ummm.
zts2033e	She is going to come by herself. Let's wait.
zts2034e	By the way, where is Cenil?
zts2035e	We drove him away. He was injured and will be quiet for the time being. By the way, where is Charlotte?
zts2036e	Anything happened?
zts2037e	Sorry, but she was kidnapped by Kenko.
zts2038e	Oh my God!! No!! We have to find her by all means!!
zts2039e	Um.
zts2040e	Sister.
zts2041e	By the way, Patrisha.
zts2042e	Call me Patty.
zts2043e	Ah.. Patty, why can't you get along with Cenil? Both of you seem to cherish Charlotte, right?
zts2044e	Is there some reason you can't tell me?
zts2045e	It's like the difference between Catsy and Darksy.. Haha..
zts2046e	What do you mean?
zts2047e	Well.. It's like we can't admit it to each other. But you may get me wrong at this moment, so let's stop here.
zts2048e	Okay.
zts2049e	Are you chasing Kenko too?
zts2050e	Of course. I don't know why Kenko kidnapped Charlotte, but l do know it's not for a friendly chat!!
zts2051e	Do you know the reason then?
zts2052e	Do you know Charlotte has the power to seal Fernon?
zts2053e	So?
zts2054e	The reverse is also possible.
zts2055e	Okay, let's work together for time being. Finding her is our first priority now.
zts2056e	Catsy, what are you?
zts2057e	My name is Patrisha de Blackcapuccino, Princess of Darksy and head of the Blackshoes Knights.
zts2058e	You saved me?
zts2059e	Probably.
zts2060e	For what?
zts2061e	To cut off the history of grudge between our two species.
zts2062e	As a gift of reconciliation.
zts2063e	Hmm.
zts2064e	I will give you the life of GrrKenko.
zts2065e	What if I reject it?
zts2066e	Do you think I will compromise with Catsy to save myself and my people?
zts2067e	But if it's the only way to save you and your brothers.
zts2068e	Now, I guess the reconciliation is accepted. Now, I will leave. bye
zts2069e	Wait!
zts2070e	Kenko's troops are approaching now.
zts2071e	Ah.
zts2072e	As a return gift, I will protect you from them!!
zts2073e	Patrisha: It's my honor. Huhu.
zts2074e	But.. it is beyond my power. Can I use the power of the Blackshoes Knights?
zts2075e	Of course.
zts2076e	Here is the way down.
zts2077e	(Sigh!!) . Finally we found it!!
zts2078e	Oho!! .. Cenil.
zts2079e	Haha.. Is that you? Patty?
zts2080e	You better watch your mouth. I don't forget unpleasant memories so easily. Don't remind me.
zts2081e	Huhu.. I don't have to show respect to anyone who betrays the Princess.
zts2082e	No.. No.. Stop it.
zts2083e	Let's not waste precious time arguing. Saving her is of utmost importance now.
zts2084e	Will. you go together?
zts2085e	Hmm. Okay but only because the Princess is in danger. However!
zts2086e	Go ahead.
zts2087e	After we save her highness, I cannot promise that the life of that human will be safe.
zts2088e	Okay, as you wish.
zts2089e	What.. what are you talking about?
zts2090e	Hey.. Dirty Kovolts.. Bring it on!!
zts2091e	Hmm.. We have to go through it.
zts2092e	They are too many. We can't waste anymore time here. Let's leave it to the Rosebud Knights.
zts2093e	You don't have to explain everything in detail. Just give us an order!!
zts2094e	You brave Rosebud Knights, stay here and show those dirty Kovolts how ruthless we can be! Don't leave even one of them alive!!
zts2095e	Knights: In the name of Rosebud!!
zts2096e	I found the way down!
zts2097e	I can feel it. We will meet the princess soon!!
zts2098e	Hey.. stinky cats!! Everyone!! Attack Catsy!!
zts2099e	Kenel!! Stop it!!
zts2100e	Hahaha.. As you wish, I will take over your life.
zts2101e	No!!
zts2102e	Hey kid. Don't disturb.
zts2103e	No.. Never.. I cannot allow you to kill Kenel.
zts2104e	Get out of my way. If I am doomed to be defeated, I will gladly accept it. I won't kneel down to a stinky cat to save my life.
zts2105e	Haha. You talk so well, dirty Kovolt!
zts2106e	Cenil. Stop it!
zts2107e	Patty, stay away from this! It's not your business.
zts2108e	On behalf of Darksy and Kovolt, KrrKoaren and I have made the peace pact. If Catsy attacks Kovolt, I won't accept it!!
zts2109e	What? This. dir.. dirty!
zts2110e	Majesty.. Oh.. my majesty, he finally.. (Sobbing)
zts2111e	Kenel.. You are also chasing Kenko, right? Then why don't you work together?
zts2112e	I can't get along with. Ka. Catsy!!
zts2113e	What if this is the will of KrrKoaren?
zts2114e	Ok. Let's decide it. Now, hurry up. We can catch up with Kenko soon!!
zts2115e	Yes.. I can feel it.. the heartbeat of the princess!!
zts2116e	Kenel. Where are we now?
zts2117e	KrrKoaren wanted to reconcile with us. So, be friendly to him.
zts2118e	Here below us, is the bottom of Shanera Dungeon.
zts2119e	Go ahead.
zts2120e	This place smells like Demons!!
zts2121e	Four of them lead to disaster and only one is the pathway to life. Whoever finds this path can overcome me.
zts2122e	What does it mean?
zts2123e	Go through 8 hills. Keep in mind that I have little patience.
zts2124e	Ah.. Here is the maze of pain!!
zts2125e	Maze of pain?
zts2126e	People say that they can get out of here only if they accomplish 5 missions. It's a place of legend. Hmm. Interesting.
zts2127e	Pain is my middle name. Bear it and survive it.
zts2128e	Enemies are coming!!
zts2129e	Swear at the shining sword, in the name of honor!
zts2130e	Watch out. Something huge is coming!
zts2131e	Sink in desperation and give up. Only despair will save your life.
zts2132e	Wh.. where are we??
zts2133e	Hmm.. You guys are smarter than I thought. I didn't expect to meet you here.
zts2134e	Give back Charlotte!!
zts2135e	The ritual has already begun. You are too late for the show.. Haha!!
zts2136e	Fernon will awake soon, and the closed TimeSpace will be torn into pieces. And then, the way will be opened.
zts2137e	This.. villain!!
zts2138e	Shout as much as you want!! But it has already begun. Praise the Demon and respect his plan.
zts2139e	The Demon is disappearing!. Does it mean that everything is over?
zts2140e	We cannot give up now!! Let's find Kenko and save Charlotte!!
zts2141e	Patty. I have to tell you something.
zts2142e	Why? Why do you want to save Charlotte?
